レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202609061001,2026-09-06,10,01R,08:32,2026-09-06T08:42:23.777641+09:00,1,100,1,100,3,130,,,1-3,200,1,1=3,200,1,1=3,120,1,1=2,150,2,2=3,260,5,1-3-2,490,2,1=2=3,250,1
202609061401,2026-09-06,14,01R,08:44,2026-09-06T08:54:19.820272+09:00,1,100,1,100,2,100,,,1-2,140,1,1=2,110,1,1=2,100,1,1=6,140,3,2=6,240,5,1-2-6,460,3,1=2=6,250,2
202609061002,2026-09-06,10,02R,08:58,2026-09-06T09:06:20.590097+09:00,1,340,1,130,2,110,,,1-2,240,1,1=2,160,1,1=2,120,1,1=3,220,5,2=3,180,2,1-2-3,820,1,1=2=3,410,3
202609061402,2026-09-06,14,02R,09:10,2026-09-06T09:18:22.395851+09:00,4,690,4,250,1,170,,,4-1,2620,11,1=4,800,3,1=4,330,4,2=4,950,13,1=2,510,6,4-1-2,21540,56,1=2=4,2930,11
202609061003,2026-09-06,10,03R,09:24,2026-09-06T09:32:21.235042+09:00,1,100,1,100,2,140,,,1-2,310,2,1=2,160,1,1=2,120,1,1=4,140,2,2=4,260,4,1-2-4,660,2,1=2=4,330,3
202609061403,2026-09-06,14,03R,09:36,2026-09-06T09:46:23.888960+09:00,2,510,2,120,1,100,,,2-1,1390,4,1=2,170,1,1=2,120,1,2=5,200,4,1=5,120,2,2-1-5,3050,8,1=2=5,260,1
202609061004,2026-09-06,10,04R,09:50,2026-09-06T09:58:20.439759+09:00,2,620,2,230,4,100,,,2-4,3970,11,2=4,890,4,2=4,250,3,2=5,1130,12,4=5,600,8,2-4-5,19910,44,2=4=5,2440,9
202609061404,2026-09-06,14,04R,10:02,2026-09-06T10:10:21.448100+09:00,3,320,3,130,6,320,,,3-6,1020,4,3=6,910,3,3=6,140,3,1=3,110,1,1=6,140,2,3-6-1,1870,6,1=3=6,200,1
202609061005,2026-09-06,10,05R,10:18,2026-09-06T10:26:24.700777+09:00,1,100,1,100,4,150,,,1-4,320,2,1=4,300,2,1=4,130,1,1=2,170,3,2=4,230,5,1-4-2,790,4,1=2=4,240,1
202609061405,2026-09-06,14,05R,10:28,2026-09-06T10:36:26.980830+09:00,2,160,2,120,1,140,,,2-1,370,1,1=2,180,1,1=2,150,2,2=4,140,1,1=4,260,5,2-1-4,840,1,1=2=4,270,1
202609061101,2026-09-06,11,01R,10:35,2026-09-06T10:42:17.363570+09:00,2,440,2,410,3,200,,,2-3,2820,10,2=3,640,4,2=3,250,6,1=2,220,5,1=3,200,4,2-3-1,5760,23,1=2=3,370,2
202609060901,2026-09-06,09,01R,10:42,2026-09-06T10:50:25.079789+09:00,3,850,3,220,1,100,,,3-1,1920,7,1=3,340,2,1=3,150,3,2=3,460,10,1=2,140,1,3-1-2,8990,25,1=2=3,440,2
202609060201,2026-09-06,02,01R,10:47,2026-09-06T10:56:21.508281+09:00,3,220,3,150,2,290,,,3-2,1150,5,2=3,890,5,2=3,210,3,1=3,180,1,1=2,360,7,3-2-1,4360,19,1=2=3,630,3
202609061006,2026-09-06,10,06R,10:50,2026-09-06T10:58:19.464177+09:00,1,300,1,120,4,140,,,1-4,360,1,1=4,380,2,1=4,110,2,1=2,100,1,2=4,140,3,1-4-2,1040,3,1=2=4,140,1
202609061701,2026-09-06,17,01R,10:54,2026-09-06T11:02:22.091998+09:00,1,150,1,150,5,200,,,1-5,350,1,1=5,490,3,1=5,210,1,1=6,330,6,5=6,1270,15,1-5-6,2360,7,1=5=6,1480,9
202609060401,2026-09-06,04,01R,10:55,2026-09-06T11:04:22.791709+09:00,1,600,1,250,5,270,,,1-5,1950,9,1=5,1220,5,1=5,430,5,1=4,1230,14,4=5,1120,13,1-5-4,25730,66,1=4=5,5370,15
202609061406,2026-09-06,14,06R,10:58,2026-09-06T11:06:22.709965+09:00,1,210,1,200,3,190,,,1-3,1090,7,1=3,540,3,1=3,210,2,1=6,890,10,3=6,950,11,1-3-6,10830,35,1=3=6,3870,10
202609061102,2026-09-06,11,02R,11:05,2026-09-06T11:16:23.443366+09:00,3,340,3,100,4,330,,,3-4,2450,14,3=4,2630,10,3=4,470,10,2=3,230,4,2=4,350,7,3-4-2,7850,37,2=3=4,1340,7
202609060902,2026-09-06,09,02R,11:12,2026-09-06T11:20:21.922719+09:00,1,230,1,130,4,160,,,1-4,540,2,1=4,410,2,1=4,170,2,1=3,110,1,3=4,210,3,1-4-3,1580,3,1=3=4,440,1
202609060301,2026-09-06,03,01R,11:14,2026-09-06T11:22:21.163728+09:00,5,520,5,180,1,130,,,5-1,1530,7,1=5,470,3,1=5,130,1,5=6,690,8,1=6,410,7,5-1-6,5330,20,1=5=6,1230,5
202609060202,2026-09-06,02,02R,11:16,2026-09-06T11:24:21.650662+09:00,1,220,1,100,5,500,,,1-5,2500,7,1=5,1080,4,1=5,320,4,1=2,210,2,2=5,370,6,1-5-2,5580,18,1=2=5,830,2
202609061007,2026-09-06,10,07R,11:19,2026-09-06T11:26:21.666420+09:00,3,190,3,130,5,220,,,3-5,460,1,3=5,280,1,3=5,150,1,3=6,170,2,5=6,370,6,3-5-6,1140,1,3=5=6,540,2
202609061702,2026-09-06,17,02R,11:23,2026-09-06T11:32:22.087703+09:00,3,1260,3,470,6,580,,,3-6,3280,9,3=6,1420,6,3=6,330,7,1=3,190,2,1=6,220,3,3-6-1,7500,25,1=3=6,300,1
202609060402,2026-09-06,04,02R,11:24,2026-09-06T11:32:22.087703+09:00,2,180,2,140,3,290,,,2-3,2100,10,2=3,1180,6,2=3,590,9,1=2,220,3,1=3,560,7,2-3-1,6340,30,1=2=3,1000,5
202609061407,2026-09-06,14,07R,11:28,2026-09-06T11:36:25.145196+09:00,1,160,1,110,3,120,,,1-3,570,2,1=3,340,2,1=3,190,3,1=6,620,10,3=6,550,8,1-3-6,2890,10,1=3=6,1470,7
202609061103,2026-09-06,11,03R,11:36,2026-09-06T11:48:23.187692+09:00,1,800,1,110,3,120,,,1-3,1310,7,1=3,460,2,1=3,310,4,1=6,720,11,3=6,310,4,1-3-6,7750,32,1=3=6,1690,9
202609060302,2026-09-06,03,02R,11:41,2026-09-06T11:50:23.281634+09:00,1,310,1,180,5,280,,,1-5,2200,10,1=5,1180,6,1=5,350,6,1=4,460,9,4=5,480,12,1-5-4,15440,59,1=4=5,3170,17
202609060903,2026-09-06,09,03R,11:42,2026-09-06T11:50:23.281634+09:00,3,1220,3,310,4,180,,,3-4,3490,14,3=4,1760,9,3=4,450,7,3=6,1180,15,4=6,420,5,3-4-6,15460,60,3=4=6,3790,13
202609060203,2026-09-06,02,03R,11:45,2026-09-06T11:52:24.704835+09:00,1,230,1,130,2,160,,,1-2,470,1,1=2,1050,4,1=2,190,1,1=4,200,3,2=4,320,7,1-2-4,2390,6,1=2=4,750,2
202609062201,2026-09-06,22,01R,11:48,2026-09-06T11:56:20.028602+09:00,1,190,1,110,2,290,,,1-2,1080,5,1=2,430,3,1=2,420,9,1=4,180,2,2=4,370,7,1-2-4,3230,13,1=2=4,800,5
202609061008,2026-09-06,10,08R,11:50,2026-09-06T11:58:21.689746+09:00,3,1040,3,170,2,280,,,3-2,4360,10,2=3,3920,8,2=3,720,8,3=5,810,9,2=5,5610,15,3-2-5,44810,57,2=3=5,12750,17
202609060403,2026-09-06,04,03R,11:53,2026-09-06T12:02:22.684817+09:00,4,310,4,420,1,220,,,4-1,3380,14,1=4,1910,9,1=4,350,5,4=6,840,14,1=6,740,13,4-1-6,13870,67,1=4=6,3130,16
202609061703,2026-09-06,17,03R,12:00,2026-09-06T12:08:21.650873+09:00,4,1650,4,510,5,270,,,4-5,6170,18,4=5,2730,9,4=5,1000,12,3=4,610,9,3=5,570,8,4-5-3,15230,45,3=4=5,1960,10
202609061104,2026-09-06,11,04R,12:03,2026-09-06T12:12:23.215095+09:00,6,850,6,400,5,1060,,,6-5,7670,23,5=6,5830,13,5=6,820,12,4=6,300,3,4=5,550,7,6-5-4,16120,58,4=5=6,1440,5
202609061408,2026-09-06,14,08R,12:05,2026-09-06T12:14:21.256931+09:00,2,280,2,120,3,120,,,2-3,440,1,2=3,250,1,2=3,110,1,2=6,310,7,3=6,270,5,2-3-6,1520,6,2=3=6,600,3
202609060303,2026-09-06,03,03R,12:08,2026-09-06T12:18:22.387821+09:00,3,130,3,270,6,330,,,3-6,2610,11,3=6,1630,8,3=6,400,8,3=4,310,4,4=6,480,10,3-6-4,5090,26,3=4=6,1080,6
202609060904,2026-09-06,09,04R,12:13,2026-09-06T12:22:20.452447+09:00,1,170,1,100,2,120,,,1-2,310,1,1=2,250,1,1=2,110,1,1=3,170,2,2=3,180,3,1-2-3,720,1,1=2=3,290,1
202609060204,2026-09-06,02,04R,12:14,2026-09-06T12:22:20.452447+09:00,3,1320,3,270,1,160,,,3-1,3720,15,1=3,1030,6,1=3,350,6,2=3,220,4,1=2,150,1,3-1-2,10100,39,1=2=3,430,1
202609062202,2026-09-06,22,02R,12:18,2026-09-06T12:26:21.704634+09:00,1,180,1,120,3,310,,,1-3,460,2,1=3,530,2,1=3,230,4,1=5,180,2,3=5,550,9,1-3-5,2150,7,1=3=5,1240,6
202609060404,2026-09-06,04,04R,12:22,2026-09-06T12:34:19.287083+09:00,1,120,1,100,2,260,,,1-2,550,3,1=2,460,3,1=2,400,5,1=3,170,2,2=3,690,10,1-2-3,1280,2,1=2=3,820,4
202609061009,2026-09-06,10,09R,12:25,2026-09-06T12:34:19.287083+09:00,2,570,2,170,5,100,,,2-5,460,1,2=5,230,1,2=5,140,1,1=2,170,2,1=5,230,5,2-5-1,2580,6,1=2=5,480,3
202609061704,2026-09-06,17,04R,12:31,2026-09-06T12:38:20.962531+09:00,5,1700,5,470,4,380,,,5-4,4890,13,4=5,1310,4,4=5,450,6,3=5,2330,14,3=4,790,11,5-4-3,58800,73,3=4=5,11740,15
202609061105,2026-09-06,11,05R,12:34,2026-09-06T12:42:25.611156+09:00,5,2730,5,470,1,140,,,5-1,6480,19,1=5,1340,5,1=5,950,13,3=5,710,11,1=3,150,1,5-1-3,37350,80,1=3=5,1310,4
202609060304,2026-09-06,03,04R,12:35,2026-09-06T12:46:25.125773+09:00,1,290,1,130,3,200,,,1-3,1160,4,1=3,570,3,1=3,290,5,1=4,260,3,3=4,370,7,1-3-4,3090,9,1=3=4,840,3
