レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202609061001,2026-09-06,10,01R,08:32,2026-09-06T08:22:20.966115+09:00,0759,2.0,2,2.0,2,24.0,24.0
202609061401,2026-09-06,14,01R,08:44,2026-09-06T08:34:18.965809+09:00,0749,2.0,4,2.0,1,26.0,27.0
202609061002,2026-09-06,10,02R,08:58,2026-09-06T08:48:21.320395+09:00,0835,2.0,1,2.0,2,24.0,24.0
202609061402,2026-09-06,14,02R,09:10,2026-09-06T09:00:56.929528+09:00,0749,2.0,4,2.0,1,26.0,27.0
202609061003,2026-09-06,10,03R,09:24,2026-09-06T09:14:18.079871+09:00,0901,1.0,2,1.0,2,25.0,24.0
202609061403,2026-09-06,14,03R,09:36,2026-09-06T09:26:21.837856+09:00,0848,1.0,4,1.0,2,27.0,27.0
202609061004,2026-09-06,10,04R,09:50,2026-09-06T09:40:28.733241+09:00,0927,1.0,8,1.0,2,25.0,24.0
202609061404,2026-09-06,14,04R,10:02,2026-09-06T09:52:22.515840+09:00,0914,2.0,1,2.0,2,27.0,27.0
202609061005,2026-09-06,10,05R,10:18,2026-09-06T10:08:22.090855+09:00,0953,2.0,8,2.0,2,26.0,24.0
202609061405,2026-09-06,14,05R,10:28,2026-09-06T10:18:18.935940+09:00,0940,2.0,8,2.0,1,27.0,27.0
202609061101,2026-09-06,11,01R,10:35,2026-09-06T10:26:24.700777+09:00,0955,3.0,2,2.0,2,25.0,28.0
202609060901,2026-09-06,09,01R,10:42,2026-09-06T10:32:17.838205+09:00,0930,0.0,,0.0,2,25.0,26.0
202609060201,2026-09-06,02,01R,10:47,2026-09-06T10:38:24.490064+09:00,1030,2.0,8,1.0,3,19.0,25.0
202609061006,2026-09-06,10,06R,10:50,2026-09-06T10:40:20.765354+09:00,1021,4.0,1,4.0,2,26.0,25.0
202609061701,2026-09-06,17,01R,10:54,2026-09-06T10:44:23.635697+09:00,1005,5.0,2,5.0,1,27.0,26.0
202609060401,2026-09-06,04,01R,10:55,2026-09-06T10:46:22.828124+09:00,0950,5.0,1,3.0,3,25.0,25.0
202609061406,2026-09-06,14,06R,10:58,2026-09-06T10:48:22.218477+09:00,1031,3.0,4,3.0,1,27.0,27.0
202609061102,2026-09-06,11,02R,11:05,2026-09-06T10:56:21.508281+09:00,1038,5.0,2,4.0,2,25.0,28.0
202609060902,2026-09-06,09,02R,11:12,2026-09-06T11:02:22.091998+09:00,1046,0.0,,0.0,2,25.0,26.0
202609060301,2026-09-06,03,01R,11:14,2026-09-06T11:04:22.791709+09:00,1000,5.0,2,5.0,3,20.0,25.0
202609060202,2026-09-06,02,02R,11:16,2026-09-06T11:06:22.709965+09:00,1050,0.0,,0.0,3,19.0,25.0
202609061007,2026-09-06,10,07R,11:19,2026-09-06T11:10:28.048185+09:00,1053,4.0,1,4.0,2,25.0,25.0
202609060402,2026-09-06,04,02R,11:24,2026-09-06T11:14:26.295558+09:00,1058,4.0,1,3.0,3,21.0,25.0
202609061702,2026-09-06,17,02R,11:23,2026-09-06T11:14:26.295558+09:00,1057,3.0,3,3.0,1,27.0,27.0
202609061407,2026-09-06,14,07R,11:28,2026-09-06T11:18:21.353936+09:00,1102,1.0,4,1.0,2,27.0,27.0
202609061103,2026-09-06,11,03R,11:36,2026-09-06T11:26:21.666420+09:00,1108,4.0,2,4.0,2,26.0,28.0
202609060302,2026-09-06,03,02R,11:41,2026-09-06T11:32:22.087703+09:00,1117,6.0,2,5.0,3,20.0,25.0
202609060903,2026-09-06,09,03R,11:42,2026-09-06T11:32:22.087703+09:00,1116,0.0,,0.0,2,25.0,26.0
202609060203,2026-09-06,02,03R,11:45,2026-09-06T11:36:25.145196+09:00,1119,0.0,,0.0,3,19.0,25.0
202609062201,2026-09-06,22,01R,11:48,2026-09-06T11:38:20.902029+09:00,1105,1.0,1,2.0,3,26.0,28.0
202609061008,2026-09-06,10,08R,11:50,2026-09-06T11:40:24.138680+09:00,1122,4.0,8,4.0,2,26.0,25.0
202609060403,2026-09-06,04,03R,11:53,2026-09-06T11:44:23.053861+09:00,1127,4.0,1,3.0,3,21.0,25.0
202609061703,2026-09-06,17,03R,12:00,2026-09-06T11:50:23.281634+09:00,1126,4.0,3,4.0,2,27.0,27.0
202609061104,2026-09-06,11,04R,12:03,2026-09-06T11:54:17.521850+09:00,1139,4.0,2,4.0,2,26.0,28.0
