レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
201702092401,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,1R,めざまし戦一,1800,11:18,1,4524,深谷知博,28,静岡,49.0,A1,5.98,34.92,7.08,51.35,75,36.11,29,45.95,5,,,,,,1,,,,,,23,2,4158,木場雄二,35,山口,57.0,B1,5.37,32.99,5.04,30.19,69,29.35,62,41.74,4,,,,,,5,2,4,1,,,9,3,4616,小川真人,35,福岡,48.0,B2,1.49,,2.0,,38,35.47,69,30.43,4,5,4,6,5,,7,,,,,,,4,4779,伊倉 光,31,東京,53.0,B1,3.37,10.53,,,44,49.54,47,33.91,4,5,6,6,5,,8,,,,,,,5,3594,塚原武之,48,埼玉,58.0,B1,3.62,13.51,3.9,10.0,14,31.34,56,25.0,6,,,,,,6,6,5,6,,,,6,4919,吉田翔悟,26,長崎,56.0,B2,1.6,,1.28,,33,34.58,58,27.03,5,6,5,6,6,,6,,,,,,
201702092402,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,2R,一般,1800,11:49,1,4247,齊藤 優,34,徳島,54.0,B1,4.82,27.78,4.56,19.44,37,28.42,59,25.86,6,2,3,,,,1,6,,,,,11,2,3176,長谷川巌,52,山口,52.0,B2,5.12,29.41,5.26,33.33,30,27.42,46,27.59,5,,,,,,1,3,4,4,,,10,3,3722,西村秀樹,46,福岡,52.0,B1,3.62,12.35,4.63,12.5,32,34.84,14,19.82,4,,,,,,5,4,4,6,,,8,4,4118,宇佐見淳,35,愛知,54.0,A1,6.88,51.67,5.68,35.71,39,36.1,32,35.09,1,1,2,,,,1,,,,,,9,5,4332,村上彰一,33,福岡,55.0,B1,4.67,19.7,4.0,33.33,41,34.78,75,37.61,3,5,4,5,3,,6,,,,,,,6,4345,西舘 健,31,東京,55.0,B1,4.29,19.48,3.73,9.09,13,42.27,51,43.86,4,,,,,,3,5,6,,,,
201702092403,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,3R,一般,1800,12:21,1,3973,崎 利仁,40,群馬,55.0,B1,4.52,18.75,4.94,23.53,36,35.05,26,42.11,2,2,4,,,,4,5,,,,,9,2,3755,吉村和也,45,長崎,51.0,B1,4.73,20.0,5.9,42.2,59,36.45,13,24.78,1,4,4,,,,4,3,,,,,11,3,3593,横井光弘,48,長崎,56.0,B1,4.33,25.0,5.22,29.27,16,31.68,19,26.55,4,1,4,,,,4,6,,,,,8,4,4504,前田将太,28,福岡,55.0,A1,7.68,62.5,6.93,46.3,49,38.89,55,43.86,1,2,1,1,2,,1,0,,,,,,5,4518,大須賀友,30,愛知,53.0,B1,5.69,36.62,4.11,27.78,58,32.89,30,22.64,1,,,,,,3,3,2,2,,,12,6,4197,渥美卓郎,34,静岡,54.0,B1,4.17,22.22,2.33,,24,32.16,48,33.04,2,3,6,,,,3,5,,,,,
201702092404,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,4R,一般,1800,12:53,1,4074,柳沢 一,35,愛知,51.0,A1,8.14,72.65,7.19,57.45,34,36.73,38,23.53,2,1,2,1,1,,1,0,,,,,,2,3571,寺本武司,45,長崎,52.0,B1,4.2,19.75,5.14,32.99,22,34.29,76,39.13,6,,,,,,5,6,2,6,,,,3,3411,池上隆行,47,広島,53.0,B1,4.55,25.35,4.46,30.77,54,30.35,22,16.0,2,,,,,,3,5,4,5,,,8,4,3842,星野太郎,40,三重,52.0,B1,5.38,33.66,,,18,34.12,11,35.4,6,,,,,,1,2,1,2,,,9,5,4623,中北将史,32,三重,53.0,B1,4.61,24.29,3.0,,21,41.33,63,29.2,3,6,5,,,,3,5,,,,,,6,4198,沼田克彦,34,徳島,51.0,B1,5.66,41.46,4.21,29.41,53,42.4,21,33.33,,,,,,,5,4,4,,,,
201702092405,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,5R,一般 進入固定 Ｈ１８０,ｍ電,13:25,1,3527,中嶋誠一,46,長崎,52.0,A1,6.25,47.06,6.68,53.14,55,32.04,37,21.93,1,,,,,,2,,,,,,22,2,3419,栗原謙治,47,群馬,55.0,B1,4.68,26.04,4.83,27.78,20,42.13,50,38.6,2,3,2,,,,6,4,,,,,12,3,3135,山口博司,58,長崎,52.0,B1,3.96,19.72,4.73,29.07,64,35.41,12,41.28,1,4,5,4,5,,,,,,,,,4,3058,原 義昭,59,岡山,55.0,B1,4.33,16.25,5.44,32.0,62,38.36,67,31.3,6,6,2,,,,3,3,,,,,8,5,3636,坂野泰章,46,山口,51.0,B1,3.89,14.86,3.67,17.78,26,36.49,71,38.6,2,3,2,1,3,,1,1,,,,,,6,4232,笠 雅雄,33,福岡,60.0,B1,4.24,28.95,4.82,26.47,31,40.35,68,33.63,6,5,6,6,6,,,,,,,,
201702092406,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,6R,一般,1800,13:58,1,4332,村上彰一,33,福岡,55.0,B1,4.67,19.7,4.0,33.33,41,34.78,75,37.61,3,5,4,5,3,,2,,,,,,,2,4203,小倉康典,34,群馬,53.0,B1,3.63,19.74,3.38,7.69,66,36.07,74,45.95,3,5,2,,,,6,1,,,,,12,3,3480,金子建二,46,群馬,56.0,B1,3.88,14.86,3.36,9.09,74,37.22,23,33.04,5,5,4,,,,5,5,,,,,,4,4352,下條雄太,30,長崎,52.0,A1,6.92,45.45,7.82,64.2,15,38.32,65,35.96,1,1,1,,,,2,1,,,,,11,5,4919,吉田翔悟,26,長崎,56.0,B2,1.6,,1.28,,33,34.58,58,27.03,5,6,5,6,6,,1,,,,,,,6,3503,堂原洋史,47,埼玉,52.0,B1,4.89,26.97,4.17,16.67,12,27.37,31,33.63,3,4,4,,,,5,3,,,,,
201702092407,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,7R,一般 進入固定 Ｈ１８０,ｍ電,14:31,1,4568,廣瀬真也,29,東京,49.0,B1,5.14,33.33,4.8,20.0,51,31.6,52,27.83,6,,,,,,3,2,2,3,,,10,2,4747,山戸信二,31,長崎,53.0,B1,3.57,6.52,2.69,7.69,29,41.86,17,37.39,6,3,4,6,3,,,,,,,,,3,4564,山本景士,29,広島,54.0,B1,5.71,30.34,5.33,38.89,50,29.06,15,36.52,2,2,3,5,3,,1,1,,,,,,4,4364,池永 太,31,福岡,54.0,A1,6.85,49.59,7.26,43.48,68,30.61,54,34.19,1,,,,,,1,1,1,1,,,12,5,4616,小川真人,35,福岡,48.0,B2,1.49,,2.0,,38,35.47,69,30.43,4,5,4,6,5,,1,,,,,,,6,4310,横家翔一,33,愛知,56.0,B1,3.96,20.73,4.75,37.5,73,39.61,45,32.46,3,,,,,,5,3,4,,,,
201702092408,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,8R,一般,1800,15:04,1,4066,東本勝利,37,三重,52.0,A1,6.09,44.33,6.91,60.0,60,26.37,40,30.7,4,,,,,,1,2,2,,,,12,2,3593,横井光弘,48,長崎,56.0,B1,4.33,25.0,5.22,29.27,16,31.68,19,26.55,4,1,4,,,,4,6,,,,,3,3,3058,原 義昭,59,岡山,55.0,B1,4.33,16.25,5.44,32.0,62,38.36,67,31.3,6,6,2,,,,3,3,,,,,5,4,3411,池上隆行,47,広島,53.0,B1,4.55,25.35,4.46,30.77,54,30.35,22,16.0,2,,,,,,3,5,4,5,,,4,5,4779,伊倉 光,31,東京,53.0,B1,3.37,10.53,,,44,49.54,47,33.91,4,5,6,6,5,,1,,,,,,,6,3722,西村秀樹,46,福岡,52.0,B1,3.62,12.35,4.63,12.5,32,34.84,14,19.82,4,,,,,,5,4,4,6,,,2
201702092409,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,9R,準優進出戦,1800,15:37,1,4118,宇佐見淳,35,愛知,54.0,A1,6.88,51.67,5.68,35.71,39,36.1,32,35.09,1,1,2,,,,1,,,,,,2,2,3527,中嶋誠一,46,長崎,52.0,A1,6.25,47.06,6.68,53.14,55,32.04,37,21.93,1,,,,,,2,,,,,,22,3,3842,星野太郎,40,三重,52.0,B1,5.38,33.66,,,18,34.12,11,35.4,6,,,,,,1,2,1,2,,,4,4,4836,大谷健太,28,埼玉,51.0,B1,4.57,24.18,5.3,40.0,40,32.87,64,30.56,4,3,2,5,1,,,,,,,,,5,4158,木場雄二,35,山口,57.0,B1,5.37,32.99,5.04,30.19,69,29.35,62,41.74,4,,,,,,5,2,4,1,,,1,6,3973,崎 利仁,40,群馬,55.0,B1,4.52,18.75,4.94,23.53,36,35.05,26,42.11,2,2,4,,,,4,5,,,,,3
201702092410,１Ｒ  めざまし戦一          Ｈ１８００ｍ  電話投票締切予定１１：１８,第4日,2017-02-09,ボートレース大村,10R,準優進出戦,1800,16:11,1,4504,前田将太,28,福岡,55.0,A1,7.68,62.5,6.93,46.3,49,38.89,55,43.86,1,2,1,1,2,,3,,,,,,,2,4074,柳沢 一,35,愛知,51.0,A1,8.14,72.65,7.19,57.45,34,36.73,38,23.53,2,1,2,1,1,,4,,,,,,,3,4754,松尾 充,28,三重,50.0,B1,5.49,34.0,4.41,25.93,19,30.69,53,42.86,5,5,3,1,1,,,,,,,,,4,4463,三苫晃幸,30,福岡,54.0,B1,4.46,21.74,4.0,18.42,23,38.81,24,29.46,3,3,3,,,,1,6,,,,,,5,4568,廣瀬真也,29,東京,49.0,B1,5.14,33.33,4.8,20.0,51,31.6,52,27.83,6,,,,,,3,2,2,3,,,7,6,3176,長谷川巌,52,山口,52.0,B2,5.12,29.41,5.26,33.33,30,27.42,46,27.59,5,,,,,,1,3,4,4,,,2
