レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202609051001,2026-09-05,10,01R,08:32,2026-09-05T08:22:20.886311+09:00,3,一周,まわり足,直線,坪井 康晴,36.55,5.45,6.67,中本 大樹,37.92,5.92,6.77,土性 雅也,37.6,5.75,6.72,竹腰 正樹,37.75,5.82,6.7,熊本 英一,38.53,6.37,6.75,多田 有佑,37.72,5.93,6.7
202609051801,2026-09-05,18,01R,08:44,2026-09-05T08:34:21.640380+09:00,2,一周,まわり足,,古澤 光紀,37.12,11.47,,三浦 裕貴,37.36,11.5,,藤森 拓海,37.8,11.72,,沼田 大都,38.33,11.91,,金田 大輔,37.8,11.53,,鈴木 雄登,37.48,11.67,
202609051002,2026-09-05,10,02R,08:58,2026-09-05T08:48:20.406774+09:00,3,一周,まわり足,直線,永嶋 裕一,37.58,5.68,6.88,板橋 侑我,37.35,5.67,6.83,中村 将隆,37.63,5.83,6.87,長谷川 雅和,37.35,5.62,6.78,川口 貴久,38.57,6.0,6.8,片岡 秀樹,38.17,5.98,6.87
202609051802,2026-09-05,18,02R,09:10,2026-09-05T09:01:11.092763+09:00,2,一周,まわり足,,稗田 聖也,37.27,11.6,,高村 諒,37.74,11.84,,柘植 政浩,37.94,11.78,,都築 正治,38.1,11.84,,本吉 正樹,38.32,11.9,,江本 真治,37.71,11.65,
202609051003,2026-09-05,10,03R,09:24,2026-09-05T09:14:20.584609+09:00,3,一周,まわり足,直線,平見 真彦,37.63,5.82,6.85,間野 兼礼,37.17,5.83,6.73,石野 貴之,37.3,5.58,6.7,岩川 仁士,37.23,5.6,6.77,岸本 雄貴,37.8,5.7,6.82,東口 晃,37.42,5.58,6.83
202609051803,2026-09-05,18,03R,09:36,2026-09-05T09:26:25.842033+09:00,2,一周,まわり足,,佐藤 大佑,38.12,11.83,,池田 雷太,37.62,11.75,,幸田 智裕,37.97,11.91,,山口 修路,38.03,11.93,,藤田 浩人,38.06,11.97,,和田 拓也,38.33,11.76,
202609051004,2026-09-05,10,04R,09:50,2026-09-05T09:40:20.849973+09:00,3,一周,まわり足,直線,戸塚 邦好,37.6,5.7,6.97,井上 茂,37.6,5.7,6.88,大橋 純一郎,37.95,5.83,6.97,重冨 勇哉,38.52,6.58,6.9,香川 颯太,37.55,6.1,6.77,久永 祥平,38.17,6.1,6.9
202609051804,2026-09-05,18,04R,10:02,2026-09-05T09:52:21.303949+09:00,2,一周,まわり足,,山田 丈,37.49,11.7,,坂元 浩仁,37.62,11.64,,高橋 勲,37.99,11.88,,福田 理,38.1,11.97,,妻鳥 晋也,37.76,11.71,,山田 真聖,38.03,11.72,
202609051005,2026-09-05,10,05R,10:18,2026-09-05T10:08:21.569961+09:00,3,一周,まわり足,直線,田中 太一郎,38.48,6.02,6.9,吉島 祥之,39.1,6.6,7.07,前田 健太郎,39.23,6.43,7.22,島村 隆幸,38.33,5.77,7.12,塩崎 優司,38.75,5.93,7.15,百武 翔,37.78,5.9,6.85
202609051805,2026-09-05,18,05R,10:29,2026-09-05T10:20:25.346338+09:00,2,一周,まわり足,,蒲原 健太,37.09,11.55,,藤山 雅弘,38.27,11.94,,岡村 慶太,38.12,11.91,,牧村 俊輝,38.04,11.78,,三浦 裕貴,37.66,11.62,,西丸 侑太朗,37.61,11.55,
