レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202607262101,2026-07-26,21,01R,08:32,2026-07-26T08:22:27.745235+09:00,7.2,14.6,22.7,39.0,6.1,8.5,14.3,31.1,21.8,18.6,42.5,62.4,40.9,38.1,70.2,105.7,109.0,97.8,138.3,173.4,45.0,78.2,141.4,206.5,72.5,219.5,327.0,514.6,229.1,301.8,550.8,592.3,307.8,475.7,897.0,923.4,498.3,872.1,603.7,951.4,31.3,35.2,42.3,80.5,68.5,134.1,216.5,323.6,96.0,144.6,181.4,163.5,103.2,268.3,273.0,382.8,290.7,541.3,490.5,581.4,137.7,127.1,178.3,243.3,249.1,307.8,615.6,581.4,137.1,270.6,320.3,275.4,245.2,730.1,550.8,455.0,418.6,848.5,826.2,592.3,189.1,130.2,237.8,352.7,296.1,430.0,560.6,541.3,167.0,455.0,461.7,981.1,330.4,805.0,592.3,570.8,506.3,682.5,765.7,654.0,382.8,455.0,581.4,713.5,413.1,765.7,872.1,1121,475.7,805.0,730.1,923.4,697.7,805.0,1495,1744,951.4,1308,897.0,784.9
202607262301,2026-07-26,23,01R,08:39,2026-07-26T08:30:33.000164+09:00,4.6,39.2,15.7,16.5,4.7,31.1,7.0,11.8,95.3,99.6,114.7,82.2,30.3,23.7,118.4,34.2,60.1,44.4,112.8,59.4,51.4,220.6,168.0,181.7,84.0,617.8,349.2,501.9,669.3,819.5,1147,772.2,386.1,608.4,1085,892.4,393.7,836.6,1384,1384,47.9,185.9,70.9,103.5,82.4,343.2,237.6,280.8,466.9,427.2,956.1,1254,153.8,340.3,1029,446.2,237.6,478.0,1147,717.1,349.2,414.0,461.5,349.2,573.6,772.2,1746,836.6,608.4,836.6,1056,979.4,912.6,1434,1115,1003,743.6,1216,956.1,1147,173.8,113.1,427.2,176.1,306.5,441.2,854.4,501.9,198.8,495.7,1254,599.3,979.4,1487,1295,803.1,378.8,854.4,730.1,1254,239.0,264.1,478.0,382.4,418.3,757.6,1487,1115,418.3,680.6,1003,979.4,956.1,1115,1147,1147,508.3,956.1,979.4,956.1
202607261401,2026-07-26,14,01R,08:46,2026-07-26T08:36:23.006413+09:00,6.0,15.8,13.2,76.5,7.5,12.9,9.8,64.7,25.8,26.8,22.1,108.6,19.5,19.2,25.1,68.7,186.1,196.0,236.6,135.2,53.4,106.8,88.5,368.1,109.3,276.1,271.6,770.5,215.1,293.2,552.2,753.0,157.0,348.7,435.9,637.2,613.6,1325,1656,1380,50.1,80.8,60.7,141.6,101.6,219.4,181.0,360.1,182.0,209.7,345.1,543.2,102.2,196.0,334.7,394.4,613.6,808.1,920.4,828.3,158.5,165.6,122.7,509.7,334.7,389.8,525.9,705.0,288.1,435.9,453.9,828.3,164.8,447.7,525.9,441.8,828.3,1142,1380,625.2,90.2,74.9,92.5,170.8,155.5,236.6,318.6,389.8,124.1,230.1,364.1,494.5,167.3,404.0,466.7,372.3,453.9,613.6,946.7,517.7,676.2,649.7,849.6,662.7,1325,1743,2070,1227,849.6,1380,920.4,1380,1274,1274,2209,705.0,552.2,1035,1506,871.9
202607262102,2026-07-26,21,02R,09:00,2026-07-26T08:50:39.693487+09:00,24.4,5.2,20.9,18.9,40.2,49.7,84.7,136.1,4.5,24.4,13.5,13.2,45.3,116.3,51.9,122.4,57.4,234.8,63.2,203.1,104.4,36.9,119.0,136.1,209.8,258.6,365.7,711.1,53.3,220.7,179.0,195.4,261.2,457.1,360.5,640.0,278.2,711.1,406.3,711.1,189.6,208.1,243.8,393.8,272.3,206.4,301.2,433.9,350.7,176.5,581.8,624.4,544.7,360.5,673.7,825.8,853.4,673.7,753.0,800.0,21.8,98.4,47.2,50.7,60.9,174.1,165.1,169.5,308.4,269.4,393.8,371.0,87.6,193.9,316.0,161.0,141.4,216.9,441.4,272.3,324.0,419.7,200.0,457.1,457.1,406.3,457.1,731.4,800.0,595.3,775.8,914.3,263.9,502.0,1024,465.4,1066,1113,1506,825.8,332.4,1219,308.4,825.8,502.0,1347,825.8,753.0,1828,1113,914.3,1422,350.7,426.7,1163,1113,731.4,825.8,1347,1506
202607262302,2026-07-26,23,02R,09:05,2026-07-26T08:56:21.486071+09:00,33.3,55.7,80.3,204.9,16.8,7.2,9.9,105.4,64.2,32.6,69.0,434.2,105.4,38.5,103.0,344.0,405.2,405.2,1013,675.4,98.0,236.8,294.1,675.4,144.7,243.1,268.1,959.8,506.5,303.9,588.2,1215,424.1,364.7,588.2,1072,729.4,1215,1657,828.9,17.6,6.4,7.8,94.4,56.8,66.0,72.6,314.4,14.1,53.0,20.4,284.9,23.5,75.0,29.4,276.3,536.3,569.9,729.4,552.6,246.4,97.0,219.7,331.5,331.5,264.3,455.9,467.6,88.5,222.4,144.7,628.8,319.9,372.1,198.2,792.9,1139,1139,1519,1519,424.1,114.6,357.5,424.1,319.9,276.3,424.1,379.9,134.0,331.5,207.2,552.6,651.3,911.8,357.5,868.4,1215,1072,868.4,1302,651.3,868.4,729.4,1402,1519,1215,1657,1519,1139,828.9,828.9,959.8,1215,959.8,1823,2279,1072,2026,911.8,2026
202607261402,2026-07-26,14,02R,09:12,2026-07-26T09:02:20.212952+09:00,68.9,99.5,119.5,180.8,40.9,5.9,23.7,40.2,77.6,11.0,45.6,62.0,174.4,82.8,100.8,251.2,423.6,141.2,162.9,279.7,185.3,174.4,308.8,706.0,329.4,315.4,264.7,478.2,411.8,390.1,1059,926.6,463.3,285.1,411.8,706.0,436.0,1059,823.6,1140,73.7,6.9,28.1,36.3,187.6,123.5,123.5,231.6,10.3,81.9,29.1,44.2,87.7,176.5,85.6,218.0,156.0,274.5,126.7,251.2,118.6,20.5,55.7,92.6,260.1,260.1,449.2,264.7,18.4,136.0,46.9,69.6,107.4,380.1,112.3,264.7,260.1,329.4,183.0,302.5,423.6,168.4,156.0,593.0,511.2,218.0,370.6,302.5,221.2,269.5,231.6,322.3,285.1,741.3,279.7,423.6,988.4,926.6,780.3,1059,780.3,400.7,449.2,926.6,1647,780.3,1140,2118,478.2,741.3,308.8,644.6,823.6,673.9,353.0,1140,872.1,1482,741.3,1347
202607262103,2026-07-26,21,03R,09:26,2026-07-26T09:16:27.940130+09:00,60.7,97.4,77.4,114.4,51.7,45.9,16.0,89.4,80.6,91.9,54.3,131.2,37.2,12.5,26.1,59.6,182.2,273.3,246.0,175.7,175.7,205.0,246.0,339.3,281.1,189.2,178.9,393.6,200.8,240.0,615.0,468.5,189.2,234.2,393.6,517.8,427.8,517.8,517.8,702.8,131.2,46.6,24.4,94.6,175.7,91.1,111.8,129.4,58.9,89.4,48.7,75.1,27.0,76.2,43.3,49.2,192.9,339.3,144.7,113.1,273.3,123.0,84.8,172.6,364.4,234.2,393.6,298.1,108.1,258.9,76.2,121.4,67.3,213.9,82.6,98.4,228.8,258.9,258.9,218.6,53.7,11.8,25.2,48.7,115.7,92.8,124.5,142.6,17.6,80.6,31.3,52.0,57.2,153.7,58.5,87.8,136.6,213.9,104.6,109.3,393.6,492.0,492.0,393.6,894.5,615.0,894.5,656.0,615.0,427.8,364.4,351.4,820.0,328.0,578.8,378.4,393.6,820.0,317.4,351.4
202607262303,2026-07-26,23,03R,09:31,2026-07-26T09:22:25.845140+09:00,12.6,22.0,11.1,135.6,15.4,18.2,9.2,176.4,31.0,27.4,23.3,242.3,14.5,12.0,21.8,150.2,378.6,324.5,491.2,466.0,61.4,96.1,40.0,673.2,133.6,259.6,230.0,865.5,204.2,211.3,336.6,956.6,144.2,302.9,324.5,865.5,649.1,1069,1069,1298,67.8,55.0,40.3,386.7,112.9,122.8,135.6,342.9,115.7,128.0,134.6,699.1,81.1,199.7,142.0,550.8,673.2,727.0,605.9,727.0,106.9,90.4,66.0,293.1,165.2,185.4,208.9,356.4,129.8,221.6,118.8,454.4,80.7,162.2,122.8,454.4,727.0,956.6,790.3,826.2,44.0,35.5,53.7,245.6,81.5,150.2,185.4,308.0,70.4,139.8,112.2,443.3,80.7,189.3,127.1,504.9,626.7,673.2,673.2,826.2,504.9,865.5,790.3,1009,1211,1211,1298,956.6,1652,826.2,727.0,727.0,1069,699.1,1652,1211,908.8,1398,956.6,1817
202607261403,2026-07-26,14,03R,09:38,2026-07-26T09:28:27.730468+09:00,10.4,10.5,34.6,58.8,10.8,7.3,16.5,49.7,10.9,10.3,23.9,34.0,49.2,39.1,58.6,113.4,167.8,139.1,133.9,220.8,93.9,83.6,186.5,289.4,186.5,242.0,303.3,513.8,151.6,296.2,719.3,719.3,335.7,475.0,535.7,868.2,449.6,719.3,968.3,1258,64.0,38.9,71.9,93.5,136.0,159.3,155.4,286.1,80.9,133.9,176.0,254.3,178.5,256.9,296.2,559.5,484.1,572.2,457.7,1007,47.3,53.6,87.1,103.1,108.9,178.5,387.3,218.9,101.5,190.7,198.2,246.8,162.4,303.3,292.7,276.6,307.0,493.6,559.5,493.6,132.5,118.2,132.5,224.8,484.1,289.4,449.6,335.7,282.9,303.3,381.4,475.0,314.7,719.3,475.0,387.3,719.3,812.2,1094,680.4,524.5,680.4,535.7,1094,1049,868.2,1258,1481,932.5,839.2,699.3,1398,645.5,1007,899.2,680.4,1049,1398,1481,968.3
202607262104,2026-07-26,21,04R,09:52,2026-07-26T09:42:20.454968+09:00,23.4,36.1,33.4,162.8,17.3,9.3,5.2,79.7,45.7,18.9,20.3,137.9,26.2,8.2,17.6,59.6,340.1,309.2,332.7,212.6,129.7,214.1,195.0,176.9,223.4,340.1,230.1,850.4,322.2,443.7,665.5,1093,257.2,278.3,566.9,805.6,987.6,1331,987.6,1700,71.7,39.6,21.1,205.4,182.2,205.4,165.4,463.8,86.0,145.1,81.8,392.5,44.6,120.5,84.5,315.6,765.4,1020,1055,927.7,283.4,131.9,119.5,392.5,518.9,577.6,612.3,612.3,184.4,485.9,180.0,665.5,131.9,456.9,209.7,425.2,785.0,827.4,1913,1055,84.5,30.1,60.1,148.6,208.2,163.7,387.5,373.3,47.6,173.9,107.4,329.2,119.5,471.0,158.6,431.2,291.5,712.0,546.7,850.4,765.4,1133,956.7,493.8,1530,1611,1800,1700,1331,1133,1331,1331,1275,927.7,3061,2355,537.1,1611,1391,1611
