レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609160401,2026-09-16,04,01R,金山 立樹,7.1,0.18,2.9,1,,IP,2,,IP,1,,IP,3,,IP,6,,G3,1,,IP,1,,IP,2,,IP,3,,IP,5,,IP,石川 吉鎬,6.0,0.22,4.2,5,5,IP,3,,IP,1,,IP,3,,IP,4,,IP,3,,IP,2,,IP,1,,IP,4,,IP,4,,IP,篠原 飛翔,6.6,0.15,3.3,3,,IP,3,,IP,1,,IP,2,,IP,F,,IP,2,,IP,3,,IP,2,,IP,3,,IP,2,,IP,澤崎 雄哉,5.6,0.14,2.0,3,,IP,2,,IP,5,,IP,4,,IP,4,,IP,3,,G3,2,,G3,4,,IP,3,5,IP,2,,G3,國崎 良春,4.5,0.15,2.8,5,6,G3,3,,IP,3,,IP,4,,IP,1,6,IP,3,,IP,5,,IP,5,4,IP,3,,IP,6,,IP,佐藤 大騎,3.0,0.16,3.7,4,,IP,6,,IP,6,,IP,4,,IP,4,,IP,4,,IP,4,,IP,4,,IP,5,5,IP,5,,IP
202609160402,2026-09-16,04,02R,大場 広孝,8.0,0.13,2.4,2,,IP,1,,IP,4,,IP,2,,IP,1,,IP,2,,IP,2,,IP,2,,IP,3,,IP,1,,IP,佐藤 大佑,8.1,0.12,2.3,2,,IP,4,,IP,2,,IP,1,,IP,1,,IP,3,5,G2,2,,IP,1,,IP,2,,IP,2,5,IP,渡邉 睦広,4.8,0.13,2.7,3,,IP,5,,IP,2,,IP,4,,IP,6,,IP,3,,IP,2,,IP,2,,IP,6,,G3,5,,G3,藤原 駿,1.3,0.23,4.4,4,,IP,6,5,IP,6,,IP,6,,IP,6,,IP,6,6,IP,落,,IP,5,5,IP,6,5,IP,6,5,IP,早川 尚人,3.3,0.14,3.6,4,6,IP,4,,IP,4,,IP,6,,IP,2,,IP,4,,IP,4,,IP,6,,IP,5,4,IP,6,,IP,伊藤 尚汰,3.4,0.19,3.5,3,5,IP,6,,IP,6,5,IP,6,,IP,5,,IP,6,,IP,2,,IP,2,,IP,5,,IP,4,,IP
202609160403,2026-09-16,04,03R,永松 良教,7.4,0.1,1.6,5,,IP,1,,IP,5,,IP,1,,IP,3,,IP,1,,IP,1,,IP,4,3,IP,1,,IP,1,,IP,濱本 優一,6.6,0.11,2.2,1,,IP,2,3,IP,2,,G3,3,,IP,3,,IP,6,,IP,2,,IP,6,,IP,1,,IP,2,,IP,馬場 剛,6.6,0.12,2.1,4,,G3,3,,IP,5,,IP,3,,IP,3,,IP,1,,IP,4,,IP,1,,IP,1,,IP,2,,IP,永井 亮次,2.2,0.16,3.6,6,,IP,6,,IP,4,,IP,6,,IP,2,5,IP,転,,IP,5,,IP,6,,IP,5,,IP,5,5,G3,本吉 正樹,4.2,0.17,3.9,6,,IP,5,,IP,3,,IP,2,,IP,5,,IP,2,,IP,5,,IP,6,,IP,2,,IP,4,,IP,桑原 啓,3.2,0.16,3.9,5,,G3,3,4,G3,5,,IP,5,,G3,6,,IP,1,,G3,5,,G3,4,,IP,5,5,IP,6,,IP
202609160404,2026-09-16,04,04R,阿波 勝哉,7.56,0.17,2.9,2,,IP,4,,IP,1,,IP,4,,IP,3,,IP,3,2,IP,1,,IP,1,6,G3,転,2,IP,1,,IP,小野 京平,4.3,0.18,3.1,3,,IP,3,,IP,4,,IP,6,5,IP,3,,IP,2,,IP,6,3,IP,3,,IP,4,,IP,6,,IP,森作 広大,4.3,0.16,3.0,5,,IP,2,,IP,3,,IP,5,,IP,3,4,IP,3,,IP,3,,IP,4,,IP,5,,IP,6,,IP,繁野谷 圭介,5.6,0.16,3.5,5,,IP,5,,IP,3,,IP,4,,IP,1,5,G3,4,,G3,3,,IP,1,3,G3,5,,IP,2,,IP,永田 啓二,6.7,0.08,2.3,2,,IP,6,,IP,4,,IP,4,,IP,1,,IP,1,,IP,2,,IP,1,,IP,4,,G3,3,,G3,宮迫 暢彦,3.2,0.22,4.9,5,,IP,4,,IP,6,,IP,2,3,IP,6,,G3,3,,G3,6,,G3,5,,G3,6,,G3,3,,IP
202609160405,2026-09-16,04,05R,濱崎 誠,7.6,0.14,3.1,2,,IP,2,,IP,1,,G3,1,,G3,3,2,G3,3,,G3,F,,IP,1,,IP,2,,IP,1,,IP,森 貴洋,5.1,0.16,3.7,4,,IP,2,,IP,6,,IP,3,,IP,4,,IP,3,,IP,3,,IP,5,,IP,2,,IP,3,,IP,芦澤 望,4.5,0.17,3.3,3,,G3,2,,IP,5,,IP,5,,IP,3,,IP,6,,IP,2,,IP,5,,IP,F,,IP,1,,IP,新開 航,8.7,0.14,2.8,1,,IP,1,6,IP,1,,IP,1,,IP,3,,SG,2,,SG,1,,IP,5,,IP,1,,G2,4,,SG,渡辺 空依,4.3,0.13,2.4,3,,IP,5,,IP,2,,IP,1,,IP,5,,IP,4,,IP,4,4,IP,4,,IP,6,,IP,5,6,IP,熊倉 幹太,1.0,0.21,5.3,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,落,,IP,6,,IP,6,,IP,5,,IP
202609160406,2026-09-16,04,06R,内山 文典,9.0,0.14,2.5,1,,G3,2,,G3,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,3,,IP,1,,IP,國弘 翔平,6.0,0.15,2.8,2,,IP,3,3,IP,転,,IP,2,3,IP,3,,IP,2,,IP,2,,IP,4,,IP,2,,IP,4,,IP,野間 大樹,4.5,0.18,3.7,3,,IP,3,,IP,3,,IP,5,4,IP,4,,G3,4,,G3,6,,IP,4,,IP,4,,IP,2,,IP,金山 立樹,4.7,0.18,4.1,2,,IP,2,,IP,6,,IP,6,,G3,3,,G3,4,,IP,6,,IP,3,,IP,3,,IP,3,2,IP,河野 主樹,2.7,0.18,2.9,4,,IP,6,6,IP,5,,IP,5,,IP,6,,IP,5,,IP,4,,IP,6,,IP,4,6,IP,3,,IP,山田 丈,5.0,0.17,3.4,2,5,IP,5,,IP,4,5,IP,6,,IP,5,,IP,5,,G2,5,,IP,1,,IP,3,,IP,1,4,IP
202609160407,2026-09-16,04,07R,石川 吉鎬,7.8,0.18,4.1,5,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,4,,IP,久永 祥平,7.6,0.12,3.0,3,,IP,1,,IP,1,,IP,3,,G3,1,,IP,3,,IP,2,,IP,4,,IP,3,,IP,1,,IP,上野 秀和,6.8,0.14,2.4,5,,IP,4,,IP,1,,IP,1,,IP,2,,IP,3,,IP,3,,IP,3,,IP,2,,IP,2,,IP,木下 翔太,8.1,0.16,3.1,3,,IP,3,,IP,1,,IP,3,,IP,1,,IP,1,,IP,3,,SG,4,,SG,1,,IP,2,,IP,大場 広孝,3.7,0.18,4.0,5,6,IP,4,,IP,5,,IP,6,,IP,3,,IP,4,,IP,3,,IP,5,,IP,2,6,IP,5,,IP,折下 寛法,4.1,0.14,2.9,5,,IP,6,5,IP,4,,IP,3,,G3,3,,IP,4,,IP,6,,IP,6,,IP,3,,IP,1,5,IP
202609160408,2026-09-16,04,08R,原田 秀弥,7.3,0.14,3.9,1,,IP,6,,IP,1,,IP,1,,IP,3,,IP,1,,IP,2,,IP,1,,IP,3,,IP,5,,IP,澤崎 雄哉,5.6,0.16,3.3,4,,IP,3,,IP,1,,IP,4,,IP,5,,IP,4,,IP,3,,G3,3,,G3,3,6,IP,2,,IP,山口 修路,4.2,0.21,3.9,2,,IP,6,,IP,4,,IP,5,,IP,4,,IP,6,,IP,5,,IP,1,4,IP,3,,IP,4,,IP,富田 恕生,3.0,0.14,2.7,4,,IP,4,,IP,5,,IP,5,,IP,5,,IP,5,,IP,2,,IP,4,,IP,6,,IP,6,,IP,藤原 駿,1.7,0.18,2.8,4,,IP,5,6,IP,6,,IP,6,,IP,6,,IP,6,6,IP,6,6,IP,6,6,IP,6,6,IP,4,,IP,馬場 剛,4.1,0.13,3.3,6,,G3,4,,IP,5,,IP,4,,IP,3,,IP,4,,IP,3,5,IP,3,,IP,3,,IP,6,,G2
202609160409,2026-09-16,04,09R,渡邉 睦広,7.8,0.15,3.2,3,,IP,1,,IP,2,,IP,1,,IP,1,,IP,4,,IP,2,,IP,2,,IP,1,,IP,4,,IP,永松 良教,6.7,0.13,2.3,3,,IP,3,,IP,2,,IP,2,,IP,2,,IP,4,,IP,6,,IP,1,,IP,2,,IP,2,4,IP,繁野谷 圭介,6.4,0.16,3.9,2,,IP,1,,IP,3,,IP,4,,IP,1,,IP,5,,IP,3,,G3,3,4,G3,2,,G3,4,4,IP,中辻 崇人,4.3,0.19,4.5,5,,IP,6,6,IP,5,2,IP,3,,IP,3,,IP,6,6,G1,5,,G1,1,3,IP,3,,IP,4,,G1,熊倉 幹太,2.2,0.16,3.6,6,,IP,6,6,IP,1,,IP,6,,IP,6,,IP,5,,IP,6,,IP,5,6,IP,5,,IP,6,,IP,平岡 重典,2.5,0.22,4.3,6,,IP,3,,IP,5,,IP,4,,IP,5,,IP,6,,IP,5,,IP,4,,IP,6,,IP,5,5,IP
202609160410,2026-09-16,04,10R,國崎 良春,8.6,0.16,2.9,2,,G3,1,,IP,2,,IP,2,,IP,3,,IP,2,2,IP,1,,IP,1,,IP,2,,IP,1,,IP,本吉 正樹,5.1,0.14,2.4,5,,IP,3,,IP,4,1,IP,4,,IP,3,,IP,6,,IP,1,,IP,4,,IP,4,,IP,1,,IP,宮迫 暢彦,4.3,0.16,3.4,3,,IP,5,,IP,4,,IP,5,,IP,4,,IP,2,,IP,4,,IP,2,,IP,6,,IP,4,,IP,渡辺 空依,5.1,0.17,2.6,5,5,IP,3,,IP,3,,IP,2,,IP,1,,IP,6,,IP,4,,IP,4,,IP,2,,IP,5,5,IP,佐藤 大佑,4.4,0.17,3.6,6,,IP,6,,IP,4,,IP,3,,IP,6,,IP,3,,IP,5,,G2,3,,IP,2,,IP,2,,IP,河野 主樹,5.6,0.19,3.8,2,,IP,2,,IP,3,,IP,2,,IP,5,,IP,2,5,IP,3,,IP,5,5,IP,3,,IP,5,,IP
202609160411,2026-09-16,04,11R,大平 誉史明,8.0,0.15,3.0,1,,IP,2,,IP,5,,IP,1,,IP,1,,IP,2,,IP,1,,IP,3,,IP,3,,IP,1,,IP,永田 啓二,5.9,0.11,1.9,5,,IP,1,,IP,5,,IP,4,,IP,1,,IP,5,,IP,1,,IP,5,,IP,3,,IP,1,,IP,國弘 翔平,5.2,0.15,2.3,1,,IP,1,4,IP,5,,IP,4,,IP,3,,IP,3,,IP,3,,IP,落,,IP,5,,IP,3,,IP,芦澤 望,3.2,0.21,4.2,2,,IP,5,,IP,3,,IP,6,,IP,6,,IP,4,,IP,5,,IP,3,,IP,6,6,IP,6,,IP,佐藤 大騎,3.1,0.14,3.3,4,,IP,5,,IP,5,,IP,2,,IP,5,,IP,4,,IP,5,,IP,5,,IP,4,,IP,6,,IP,久永 祥平,4.0,0.24,4.7,5,,IP,4,,G3,2,,G3,4,,G3,3,,IP,6,,IP,6,,IP,5,,IP,3,,IP,3,,IP
202609160412,2026-09-16,04,12R,新開 航,9.8,0.12,3.1,1,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,野間 大樹,5.1,0.19,4.1,3,,IP,2,,IP,5,3,IP,3,3,G3,4,,IP,6,,IP,3,,IP,3,3,IP,2,,IP,4,,IP,濱本 優一,3.6,0.17,3.1,5,,IP,4,2,IP,4,,IP,6,,G3,3,,IP,4,,IP,6,,IP,3,,IP,5,4,IP,3,,IP,森作 広大,3.0,0.16,3.9,6,,IP,4,,IP,6,,IP,4,,IP,6,,IP,4,,IP,5,,IP,3,,IP,6,,IP,3,,IP,折下 寛法,3.9,0.13,2.8,4,,IP,3,,IP,5,3,IP,6,,IP,4,,G3,4,,G3,5,,IP,4,,IP,2,,IP,4,,IP,篠原 飛翔,3.5,0.2,4.6,4,,IP,3,5,IP,4,,IP,5,,IP,3,,IP,4,,IP,4,,IP,6,,IP,5,,IP,5,,IP
202609160501,2026-09-16,05,01R,若林 将,7.0,0.15,2.8,5,,G1,2,,G1,4,,IP,2,,IP,1,,IP,1,,IP,2,,IP,F,,G3,1,,G3,2,,G3,竹田 和哉,8.1,0.13,2.2,2,,IP,1,,IP,3,,IP,1,,IP,3,,IP,2,,IP,2,,IP,1,,IP,2,,IP,4,,IP,上田 龍星,7.5,0.09,2.2,3,,G1,1,,G1,2,,IP,1,,IP,2,,IP,2,,IP,2,,IP,5,,IP,2,2,IP,5,,G2,黒野 元基,7.7,0.14,2.1,1,,G1,1,,G3,2,,IP,4,,IP,5,,IP,1,,IP,1,,IP,1,5,G3,1,,IP,5,,IP,坂口 周,5.2,0.16,3.9,4,,IP,3,,IP,3,4,IP,3,,G3,5,,IP,3,,G3,2,,IP,2,,IP,4,,IP,6,,G2,長尾 章平,4.3,0.21,5.1,3,,IP,3,,IP,6,5,IP,5,,IP,4,5,IP,5,,IP,4,,IP,4,,IP,3,,IP,3,,IP
