場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
02,2026-09-24,1,2026-09-18,2026-09-24,一般,ＢＯＡＴＢｏｙカップ,小松 卓司,４４４　３４５４６　２１
02,2026-09-24,1,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,野田 昇吾,５　４３４６５
02,2026-09-24,1,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,三川 昂暁,１１４　３３Ｆ１
02,2026-09-24,2,2026-09-18,2026-09-24,一般,ＢＯＡＴＢｏｙカップ,須藤 隆雄,５　４５５　５
02,2026-09-24,2,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,西田 靖,２　５４５５６
02,2026-09-24,2,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,山本 英志,３　２１５４２５
02,2026-09-24,3,2026-09-18,2026-09-24,一般,ＢＯＡＴＢｏｙカップ,片岡 雅裕,２４３５２　３２２２[５]
02,2026-09-24,3,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,渡邉 俊介,１４１３３５２６
02,2026-09-24,3,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,乃村 康友,２１５　５６３２
02,2026-09-24,4,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,金田 智博,３３１　１５４２
02,2026-09-24,4,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,内堀 学,２５５１２２３３
02,2026-09-24,4,2026-08-12,2026-08-17,一般,第４９回戸田ボート大賞・サンケイスポーツ杯,有賀 達也,５４２　１２４　２　[５]
02,2026-09-24,5,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,入海 馨,３　６１４２１３
02,2026-09-24,5,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,木村 亮太,５　３２
02,2026-09-24,5,2026-08-12,2026-08-17,一般,第４９回戸田ボート大賞・サンケイスポーツ杯,堂原 洋史,４　５３６６２　２４５２
02,2026-09-24,6,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,立具 敬司,５　不欠
02,2026-09-24,6,2026-09-03,2026-09-06,一般,サッポロビールカップ,川添 英正,３３３　５４４１
02,2026-09-24,6,2026-08-20,2026-08-23,一般,ファイティングボートガイド杯,小川 時光,　　　　　　１５
02,2026-09-24,7,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,岡部 大輝,３２２６２　３６
02,2026-09-24,7,2026-09-03,2026-09-06,一般,サッポロビールカップ,野村 誠,６　４５６４３４
02,2026-09-24,7,2026-08-12,2026-08-17,一般,第４９回戸田ボート大賞・サンケイスポーツ杯,砂長 知輝,４　１１１　１１４　３５
02,2026-09-24,8,2026-09-18,2026-09-24,一般,ＢＯＡＴＢｏｙカップ,長谷川 親王,５　４５５　３２５３３６
02,2026-09-24,8,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,山崎 裕司,２　３１４１[３]
02,2026-09-24,8,2026-09-03,2026-09-06,一般,サッポロビールカップ,原田 雄次,３６５　１４５３
02,2026-09-24,9,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,藤山 雅弘,３３５　２３２４
02,2026-09-24,9,2026-09-03,2026-09-06,一般,サッポロビールカップ,柴田 光,１３Ｆ４６
02,2026-09-24,9,2026-08-12,2026-08-17,一般,第４９回戸田ボート大賞・サンケイスポーツ杯,中田 夕貴,６１６　２５６　４６５４
02,2026-09-24,10,2026-09-11,2026-09-14,一般,第５回漫画アクションカップ,羽野 諒,５６１　５３１６
