レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202605160101,2026-05-16,01,1R,daily,68.87,24.75,46.58,9.54,49.66,15.32,50.0,3.12,50.0,3.24,55.98,51.12,18.37,52.45,10.74,50.0,15.43,50.0,3.12,50.0,3.24,50.91,50.98,18.32,50.49,10.34,64.97,20.05,50.0,3.12,50.0,3.24,55.07,47.58,17.1,54.41,11.14,50.0,15.43,50.0,3.12,50.0,3.24,50.03,45.87,16.49,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,47.82,35.02,12.59,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,43.92
202605160101,2026-05-16,01,1R,realtime,68.87,24.75,46.58,9.54,49.66,15.32,57.81,3.61,17.06,1.11,54.33,51.12,18.37,52.45,10.74,50.0,15.43,51.11,3.19,52.61,3.41,51.14,50.98,18.32,50.49,10.34,64.97,20.05,48.04,3.0,33.34,2.16,53.87,47.58,17.1,54.41,11.14,50.0,15.43,51.9,3.24,67.65,4.39,51.3,45.87,16.49,46.58,9.54,50.0,15.43,54.65,3.41,56.18,3.64,48.51,35.02,12.59,46.58,9.54,50.0,15.43,36.39,2.27,72.95,4.73,44.55
202605160102,2026-05-16,01,2R,daily,68.87,24.75,48.54,9.94,50.52,15.59,50.0,3.12,50.0,3.24,56.64,51.12,18.37,46.58,9.54,48.22,14.88,50.0,3.12,50.0,3.24,49.15,50.98,18.32,56.37,11.54,44.74,13.8,50.0,3.12,50.0,3.24,50.03,47.58,17.1,46.58,9.54,47.76,14.74,50.0,3.12,50.0,3.24,47.74,45.87,16.49,42.66,8.73,50.0,15.43,50.0,3.12,50.0,3.24,47.01,35.02,12.59,56.37,11.54,50.0,15.43,50.0,3.12,50.0,3.24,45.92
202605160102,2026-05-16,01,2R,realtime,68.87,24.75,48.54,9.94,50.52,15.59,56.17,3.51,13.97,0.91,54.69,51.12,18.37,46.58,9.54,48.22,14.88,63.47,3.97,44.81,2.91,49.66,50.98,18.32,56.37,11.54,44.74,13.8,39.72,2.48,40.9,2.65,48.8,47.58,17.1,46.58,9.54,47.76,14.74,40.43,2.53,71.08,4.61,48.51,45.87,16.49,42.66,8.73,50.0,15.43,50.1,3.13,58.64,3.8,47.58,35.02,12.59,56.37,11.54,50.0,15.43,50.0,3.12,70.42,4.57,47.25
202605160103,2026-05-16,01,3R,daily,68.87,24.75,44.62,9.14,35.74,11.03,50.0,3.12,50.0,3.24,51.28,51.12,18.37,44.62,9.14,55.44,17.11,50.0,3.12,50.0,3.24,50.98,50.98,18.32,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,50.05,47.58,17.1,50.49,10.34,50.0,15.43,50.0,3.12,50.0,3.24,49.23,45.87,16.49,42.66,8.73,45.92,14.17,50.0,3.12,50.0,3.24,45.75,35.02,12.59,44.62,9.14,47.76,14.74,50.0,3.12,50.0,3.24,42.82
202605160103,2026-05-16,01,3R,realtime,68.87,24.75,44.62,9.14,35.74,11.03,57.98,3.62,18.21,1.18,49.72,51.12,18.37,44.62,9.14,55.44,17.11,55.26,3.45,51.38,3.33,51.4,50.98,18.32,48.54,9.94,50.0,15.43,47.0,2.94,34.26,2.22,48.85,47.58,17.1,50.49,10.34,50.0,15.43,47.34,2.96,66.14,4.29,50.11,45.87,16.49,42.66,8.73,45.92,14.17,45.3,2.83,56.0,3.63,45.85,35.02,12.59,44.62,9.14,47.76,14.74,47.03,2.94,73.79,4.78,44.18
202605160104,2026-05-16,01,4R,daily,68.87,24.75,48.54,9.94,52.16,16.09,50.0,3.12,50.0,3.24,57.15,51.12,18.37,50.49,10.34,35.41,10.93,50.0,3.12,50.0,3.24,46.0,50.98,18.32,42.66,8.73,49.66,15.32,50.0,3.12,50.0,3.24,48.75,47.58,17.1,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,48.83,45.87,16.49,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,48.22,35.02,12.59,48.54,9.94,51.31,15.83,50.0,3.12,50.0,3.24,44.72
202605160104,2026-05-16,01,4R,realtime,68.87,24.75,48.54,9.94,52.16,16.09,57.85,3.61,18.21,1.18,55.58,51.12,18.37,50.49,10.34,35.41,10.93,54.67,3.42,51.38,3.33,46.38,50.98,18.32,42.66,8.73,49.66,15.32,47.51,2.97,34.26,2.22,47.57,47.58,17.1,48.54,9.94,50.0,15.43,49.95,3.12,66.14,4.29,49.88,45.87,16.49,48.54,9.94,50.0,15.43,46.34,2.9,56.0,3.63,48.38,35.02,12.59,48.54,9.94,51.31,15.83,43.58,2.72,73.79,4.78,45.86
202605160105,2026-05-16,01,5R,daily,68.87,24.75,54.41,11.14,50.0,15.43,50.0,3.12,50.0,3.24,57.68,51.12,18.37,42.66,8.73,50.0,15.43,50.0,3.12,50.0,3.24,48.9,50.98,18.32,56.37,11.54,34.88,10.76,50.0,3.12,50.0,3.24,46.99,47.58,17.1,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,48.43,45.87,16.49,72.03,14.75,30.81,9.51,50.0,3.12,50.0,3.24,47.11,35.02,12.59,44.62,9.14,50.0,15.43,50.0,3.12,50.0,3.24,43.52
202605160105,2026-05-16,01,5R,realtime,68.87,24.75,54.41,11.14,50.0,15.43,58.22,3.64,18.21,1.18,56.14,51.12,18.37,42.66,8.73,50.0,15.43,59.32,3.71,51.38,3.33,49.57,50.98,18.32,56.37,11.54,34.88,10.76,56.64,3.54,34.26,2.22,46.39,47.58,17.1,46.58,9.54,50.0,15.43,45.13,2.82,66.14,4.29,49.17,45.87,16.49,72.03,14.75,30.81,9.51,43.83,2.74,56.0,3.63,47.11,35.02,12.59,44.62,9.14,50.0,15.43,36.76,2.3,73.79,4.78,44.23
202605160106,2026-05-16,01,6R,daily,68.87,24.75,56.37,11.54,46.77,14.43,50.0,3.12,50.0,3.24,57.09,51.12,18.37,44.62,9.14,60.63,18.71,50.0,3.12,50.0,3.24,52.58,50.98,18.32,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,49.65,47.58,17.1,42.66,8.73,50.0,15.43,50.0,3.12,50.0,3.24,47.63,45.87,16.49,50.49,10.34,64.97,20.05,50.0,3.12,50.0,3.24,53.24,35.02,12.59,36.79,7.53,60.63,18.71,50.0,3.12,50.0,3.24,45.19
202605160106,2026-05-16,01,6R,realtime,68.87,24.75,56.37,11.54,46.77,14.43,58.31,3.64,18.21,1.18,55.55,51.12,18.37,44.62,9.14,60.63,18.71,48.35,3.02,51.38,3.33,52.57,50.98,18.32,46.58,9.54,50.0,15.43,44.77,2.8,34.26,2.22,48.31,47.58,17.1,42.66,8.73,50.0,15.43,50.4,3.15,66.14,4.29,48.7,45.87,16.49,50.49,10.34,64.97,20.05,51.32,3.21,56.0,3.63,53.71,35.02,12.59,36.79,7.53,60.63,18.71,46.73,2.92,73.79,4.78,46.53
202605160107,2026-05-16,01,7R,daily,68.87,24.75,60.28,12.34,50.58,15.61,50.0,3.12,50.0,3.24,59.07,51.12,18.37,46.58,9.54,47.76,14.74,50.0,3.12,50.0,3.24,49.01,50.98,18.32,56.37,11.54,50.0,15.43,50.0,3.12,50.0,3.24,51.66,47.58,17.1,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,48.43,45.87,16.49,44.62,9.14,55.44,17.11,50.0,3.12,50.0,3.24,49.09,35.02,12.59,46.58,9.54,54.59,16.84,50.0,3.12,50.0,3.24,45.33
202605160107,2026-05-16,01,7R,realtime,68.87,24.75,60.28,12.34,50.58,15.61,63.24,3.95,18.21,1.18,57.83,51.12,18.37,46.58,9.54,47.76,14.74,39.57,2.47,51.38,3.33,48.45,50.98,18.32,56.37,11.54,50.0,15.43,57.98,3.62,34.26,2.22,51.14,47.58,17.1,46.58,9.54,50.0,15.43,36.95,2.31,66.14,4.29,48.66,45.87,16.49,44.62,9.14,55.44,17.11,57.32,3.58,56.0,3.63,49.94,35.02,12.59,46.58,9.54,54.59,16.84,44.83,2.8,73.79,4.78,46.55
202605160108,2026-05-16,01,8R,daily,68.87,24.75,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,56.48,51.12,18.37,42.66,8.73,45.92,14.17,50.0,3.12,50.0,3.24,47.64,50.98,18.32,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,50.05,47.58,17.1,56.37,11.54,44.74,13.8,50.0,3.12,50.0,3.24,48.81,45.87,16.49,52.45,10.74,50.0,15.43,50.0,3.12,50.0,3.24,49.02,35.02,12.59,44.62,9.14,50.0,15.43,50.0,3.12,50.0,3.24,43.52
202605160108,2026-05-16,01,8R,realtime,68.87,24.75,48.54,9.94,50.0,15.43,56.38,3.52,18.21,1.18,54.82,51.12,18.37,42.66,8.73,45.92,14.17,51.41,3.21,51.38,3.33,47.82,50.98,18.32,48.54,9.94,50.0,15.43,53.96,3.37,34.26,2.22,49.28,47.58,17.1,56.37,11.54,44.74,13.8,42.37,2.65,66.14,4.29,49.38,45.87,16.49,52.45,10.74,50.0,15.43,49.83,3.11,56.0,3.63,49.4,35.02,12.59,44.62,9.14,50.0,15.43,45.95,2.87,73.79,4.78,44.81
202605160109,2026-05-16,01,9R,daily,68.87,24.75,52.45,10.74,45.59,14.07,50.0,3.12,50.0,3.24,55.92,51.12,18.37,48.54,9.94,50.0,15.43,50.0,3.12,50.0,3.24,50.1,50.98,18.32,54.41,11.14,50.0,15.43,50.0,3.12,50.0,3.24,51.26,47.58,17.1,42.66,8.73,49.66,15.32,50.0,3.12,50.0,3.24,47.53,45.87,16.49,46.58,9.54,48.22,14.88,50.0,3.12,50.0,3.24,47.27,35.02,12.59,30.91,6.33,34.1,10.52,50.0,3.12,50.0,3.24,35.8
202605160109,2026-05-16,01,9R,realtime,68.87,24.75,52.45,10.74,45.59,14.07,54.97,3.43,23.68,1.54,54.53,51.12,18.37,48.54,9.94,50.0,15.43,46.66,2.92,50.59,3.28,49.93,50.98,18.32,54.41,11.14,50.0,15.43,51.13,3.19,36.9,2.39,50.48,47.58,17.1,42.66,8.73,49.66,15.32,38.15,2.38,62.63,4.06,47.6,45.87,16.49,46.58,9.54,48.22,14.88,58.4,3.65,54.93,3.56,48.11,35.02,12.59,30.91,6.33,34.1,10.52,50.6,3.16,71.08,4.61,37.21
202605160110,2026-05-16,01,10R,daily,68.87,24.75,44.62,9.14,47.76,14.74,50.0,3.12,50.0,3.24,54.99,51.12,18.37,56.37,11.54,46.77,14.43,50.0,3.12,50.0,3.24,50.71,50.98,18.32,54.41,11.14,50.0,15.43,50.0,3.12,50.0,3.24,51.26,47.58,17.1,46.58,9.54,50.0,15.43,50.0,3.12,50.0,3.24,48.43,45.87,16.49,42.66,8.73,50.0,15.43,50.0,3.12,50.0,3.24,47.01,35.02,12.59,48.54,9.94,52.16,16.09,50.0,3.12,50.0,3.24,44.98
202605160110,2026-05-16,01,10R,realtime,68.87,24.75,44.62,9.14,47.76,14.74,56.38,3.52,22.14,1.44,53.58,51.12,18.37,56.37,11.54,46.77,14.43,57.9,3.62,46.69,3.03,50.99,50.98,18.32,54.41,11.14,50.0,15.43,52.98,3.31,40.68,2.64,50.84,47.58,17.1,46.58,9.54,50.0,15.43,43.34,2.71,64.34,4.17,48.95,45.87,16.49,42.66,8.73,50.0,15.43,43.17,2.7,56.16,3.64,46.99,35.02,12.59,48.54,9.94,52.16,16.09,46.14,2.88,69.81,4.53,46.03
202605160111,2026-05-16,01,11R,daily,68.87,24.75,44.62,9.14,50.0,15.43,50.0,3.12,50.0,3.24,55.68,51.12,18.37,60.28,12.34,50.58,15.61,50.0,3.12,50.0,3.24,52.69,50.98,18.32,48.54,9.94,50.52,15.59,50.0,3.12,50.0,3.24,50.21,47.58,17.1,72.03,14.75,30.81,9.51,50.0,3.12,50.0,3.24,47.72,45.87,16.49,50.49,10.34,35.41,10.93,50.0,3.12,50.0,3.24,44.12,35.02,12.59,44.62,9.14,35.74,11.03,50.0,3.12,50.0,3.24,39.12
202605160111,2026-05-16,01,11R,realtime,68.87,24.75,44.62,9.14,50.0,15.43,50.55,3.16,26.84,1.74,54.21,51.12,18.37,60.28,12.34,50.58,15.61,57.42,3.59,52.23,3.39,53.3,50.98,18.32,48.54,9.94,50.52,15.59,55.67,3.48,37.68,2.44,49.77,47.58,17.1,72.03,14.75,30.81,9.51,46.15,2.88,62.13,4.03,48.27,45.87,16.49,50.49,10.34,35.41,10.93,50.1,3.13,54.2,3.51,44.39,35.02,12.59,44.62,9.14,35.74,11.03,40.0,2.5,66.68,4.32,39.57
202605160112,2026-05-16,01,12R,daily,68.87,24.75,54.41,11.14,50.52,15.59,50.0,3.12,50.0,3.24,57.84,51.12,18.37,48.54,9.94,43.95,13.56,50.0,3.12,50.0,3.24,48.24,50.98,18.32,72.03,14.75,53.34,16.46,50.0,3.12,50.0,3.24,55.89,47.58,17.1,54.41,11.14,66.74,20.59,50.0,3.12,50.0,3.24,55.2,45.87,16.49,66.16,13.55,48.02,14.82,50.0,3.12,50.0,3.24,51.21,35.02,12.59,54.41,11.14,66.08,20.39,50.0,3.12,50.0,3.24,50.48
202605160112,2026-05-16,01,12R,realtime,68.87,24.75,54.41,11.14,50.52,15.59,53.14,3.32,31.16,2.02,56.82,51.12,18.37,48.54,9.94,43.95,13.56,59.26,3.7,52.66,3.41,48.99,50.98,18.32,72.03,14.75,53.34,16.46,59.01,3.69,39.39,2.55,55.77,47.58,17.1,54.41,11.14,66.74,20.59,46.33,2.89,60.13,3.9,55.63,45.87,16.49,66.16,13.55,48.02,14.82,38.87,2.43,53.3,3.46,50.73,35.02,12.59,54.41,11.14,66.08,20.39,43.29,2.7,63.13,4.09,50.92
202605160201,2026-05-16,02,1R,daily,64.1,20.49,42.23,7.81,116.0,39.99,50.0,6.03,50.0,1.51,75.82,53.91,17.23,40.16,7.43,50.0,17.24,50.0,6.03,50.0,1.51,49.43,53.11,16.98,42.23,7.81,136.0,46.88,50.0,6.03,50.0,1.51,79.2,50.45,16.13,46.38,8.58,81.1,27.96,50.0,6.03,50.0,1.51,60.19,43.71,13.97,33.94,6.28,50.0,17.24,50.0,6.03,50.0,1.51,45.02,34.12,10.91,44.3,8.19,78.9,27.2,50.0,6.03,50.0,1.51,53.83
202605160201,2026-05-16,02,1R,realtime,64.1,20.49,42.23,7.81,116.0,39.99,58.7,7.08,42.19,1.27,76.63,53.91,17.23,40.16,7.43,50.0,17.24,48.2,5.81,46.97,1.41,49.12,53.11,16.98,42.23,7.81,136.0,46.88,52.96,6.38,49.4,1.49,79.54,50.45,16.13,46.38,8.58,81.1,27.96,48.24,5.82,55.17,1.66,60.14,43.71,13.97,33.94,6.28,50.0,17.24,48.57,5.86,52.22,1.57,44.91,34.12,10.91,44.3,8.19,78.9,27.2,43.34,5.22,54.12,1.63,53.15
202605160202,2026-05-16,02,2R,daily,64.1,20.49,44.3,8.19,106.7,36.78,50.0,6.03,50.0,1.51,73.0,53.91,17.23,48.45,8.96,81.1,27.96,50.0,6.03,50.0,1.51,61.68,53.11,16.98,46.38,8.58,50.0,17.24,50.0,6.03,50.0,1.51,50.32,50.45,16.13,48.45,8.96,50.0,17.24,50.0,6.03,50.0,1.51,49.86,43.71,13.97,67.11,12.41,50.0,17.24,50.0,6.03,50.0,1.51,51.15,34.12,10.91,46.38,8.58,92.2,31.78,50.0,6.03,50.0,1.51,58.8
202605160202,2026-05-16,02,2R,realtime,64.1,20.49,44.3,8.19,106.7,36.78,59.43,7.16,45.54,1.37,74.0,53.91,17.23,48.45,8.96,81.1,27.96,39.78,4.79,52.58,1.58,60.53,53.11,16.98,46.38,8.58,50.0,17.24,53.64,6.47,48.38,1.46,50.71,50.45,16.13,48.45,8.96,50.0,17.24,48.97,5.9,51.27,1.54,49.77,43.71,13.97,67.11,12.41,50.0,17.24,51.46,6.2,46.6,1.4,51.23,34.12,10.91,46.38,8.58,92.2,31.78,46.73,5.63,55.71,1.68,58.58
202605160203,2026-05-16,02,3R,daily,64.1,20.49,46.38,8.58,50.0,17.24,50.0,6.03,50.0,1.51,53.84,53.91,17.23,48.45,8.96,74.4,25.65,50.0,6.03,50.0,1.51,59.37,53.11,16.98,50.52,9.34,98.9,34.09,50.0,6.03,50.0,1.51,67.95,50.45,16.13,62.96,11.65,50.0,17.24,50.0,6.03,50.0,1.51,52.54,43.71,13.97,42.23,7.81,102.2,35.23,50.0,6.03,50.0,1.51,64.54,34.12,10.91,60.89,11.26,96.0,33.09,50.0,6.03,50.0,1.51,62.79
202605160203,2026-05-16,02,3R,realtime,64.1,20.49,46.38,8.58,50.0,17.24,41.59,5.01,50.01,1.51,52.82,53.91,17.23,48.45,8.96,74.4,25.65,54.54,6.57,50.01,1.51,59.92,53.11,16.98,50.52,9.34,98.9,34.09,53.65,6.47,50.01,1.51,68.39,50.45,16.13,62.96,11.65,50.0,17.24,53.12,6.4,50.01,1.51,52.92,43.71,13.97,42.23,7.81,102.2,35.23,36.76,4.43,50.01,1.51,62.95,34.12,10.91,60.89,11.26,96.0,33.09,60.36,7.28,50.01,1.51,64.04
202605160204,2026-05-16,02,4R,daily,64.1,20.49,42.23,7.81,97.8,33.71,50.0,6.03,50.0,1.51,69.55,53.91,17.23,48.45,8.96,114.5,39.47,50.0,6.03,50.0,1.51,73.2,53.11,16.98,58.81,10.88,50.0,17.24,50.0,6.03,50.0,1.51,52.62,50.45,16.13,50.52,9.34,50.0,17.24,50.0,6.03,50.0,1.51,50.24,43.71,13.97,33.94,6.28,120.0,41.36,50.0,6.03,50.0,1.51,69.15,34.12,10.91,46.38,8.58,91.4,31.51,50.0,6.03,50.0,1.51,58.52
202605160204,2026-05-16,02,4R,realtime,64.1,20.49,42.23,7.81,97.8,33.71,50.5,6.09,48.31,1.46,69.56,53.91,17.23,48.45,8.96,114.5,39.47,47.21,5.69,51.95,1.56,72.92,53.11,16.98,58.81,10.88,50.0,17.24,58.33,7.03,48.93,1.47,53.6,50.45,16.13,50.52,9.34,50.0,17.24,52.65,6.35,49.58,1.49,50.55,43.71,13.97,33.94,6.28,120.0,41.36,48.2,5.81,46.09,1.39,68.81,34.12,10.91,46.38,8.58,91.4,31.51,43.12,5.2,55.23,1.66,57.85
202605160205,2026-05-16,02,5R,daily,64.1,20.49,50.52,9.34,104.0,35.85,50.0,6.03,50.0,1.51,73.22,53.91,17.23,42.23,7.81,116.0,39.99,50.0,6.03,50.0,1.51,72.56,53.11,16.98,40.16,7.43,115.5,39.81,50.0,6.03,50.0,1.51,71.75,50.45,16.13,69.18,12.8,109.0,37.57,50.0,6.03,50.0,1.51,74.03,43.71,13.97,42.23,7.81,50.0,17.24,50.0,6.03,50.0,1.51,46.55,34.12,10.91,48.45,8.96,113.6,39.16,50.0,6.03,50.0,1.51,66.56
202605160205,2026-05-16,02,5R,realtime,64.1,20.49,50.52,9.34,104.0,35.85,63.0,7.59,48.31,1.46,74.73,53.91,17.23,42.23,7.81,116.0,39.99,52.0,6.27,51.95,1.56,72.86,53.11,16.98,40.16,7.43,115.5,39.81,49.14,5.92,48.93,1.47,71.61,50.45,16.13,69.18,12.8,109.0,37.57,51.04,6.15,49.58,1.49,74.14,43.71,13.97,42.23,7.81,50.0,17.24,40.25,4.85,46.09,1.39,45.26,34.12,10.91,48.45,8.96,113.6,39.16,44.58,5.37,55.23,1.66,66.06
202605160206,2026-05-16,02,6R,daily,64.1,20.49,46.38,8.58,102.2,35.23,50.0,6.03,50.0,1.51,71.83,53.91,17.23,54.67,10.11,88.9,30.64,50.0,6.03,50.0,1.51,65.52,53.11,16.98,50.52,9.34,107.0,36.88,50.0,6.03,50.0,1.51,70.74,50.45,16.13,46.38,8.58,116.7,40.23,50.0,6.03,50.0,1.51,72.47,43.71,13.97,42.23,7.81,50.0,17.24,50.0,6.03,50.0,1.51,46.55,34.12,10.91,54.67,10.11,116.0,39.99,50.0,6.03,50.0,1.51,68.54
202605160206,2026-05-16,02,6R,realtime,64.1,20.49,46.38,8.58,102.2,35.23,57.8,6.97,57.59,1.73,73.0,53.91,17.23,54.67,10.11,88.9,30.64,59.54,7.18,-21.57,-0.65,64.52,53.11,16.98,50.52,9.34,107.0,36.88,44.52,5.37,32.01,0.96,69.54,50.45,16.13,46.38,8.58,116.7,40.23,48.06,5.79,109.76,3.31,74.03,43.71,13.97,42.23,7.81,50.0,17.24,43.74,5.27,61.13,1.84,46.13,34.12,10.91,54.67,10.11,116.0,39.99,46.34,5.59,61.16,1.84,68.43
202605160207,2026-05-16,02,7R,daily,64.1,20.49,56.74,10.5,98.9,34.09,50.0,6.03,50.0,1.51,72.61,53.91,17.23,42.23,7.81,123.3,42.5,50.0,6.03,50.0,1.51,75.08,53.11,16.98,42.23,7.81,102.2,35.23,50.0,6.03,50.0,1.51,67.55,50.45,16.13,33.94,6.28,86.7,29.89,50.0,6.03,50.0,1.51,59.82,43.71,13.97,46.38,8.58,85.6,29.51,50.0,6.03,50.0,1.51,59.59,34.12,10.91,48.45,8.96,50.0,17.24,50.0,6.03,50.0,1.51,44.64
202605160207,2026-05-16,02,7R,realtime,64.1,20.49,56.74,10.5,98.9,34.09,56.99,6.87,60.36,1.82,73.77,53.91,17.23,42.23,7.81,123.3,42.5,60.01,7.23,-22.21,-0.67,74.11,53.11,16.98,42.23,7.81,102.2,35.23,41.39,4.99,32.56,0.98,65.99,50.45,16.13,33.94,6.28,86.7,29.89,46.52,5.61,108.07,3.26,61.15,43.71,13.97,46.38,8.58,85.6,29.51,45.27,5.46,60.62,1.83,59.34,34.12,10.91,48.45,8.96,50.0,17.24,49.83,6.01,60.68,1.83,44.94
202605160208,2026-05-16,02,8R,daily,64.1,20.49,44.3,8.19,50.0,17.24,50.0,6.03,50.0,1.51,53.45,53.91,17.23,62.96,11.65,50.0,17.24,50.0,6.03,50.0,1.51,53.65,53.11,16.98,48.45,8.96,94.4,32.54,50.0,6.03,50.0,1.51,66.01,50.45,16.13,54.67,10.11,134.4,46.33,50.0,6.03,50.0,1.51,80.1,43.71,13.97,48.45,8.96,81.1,27.96,50.0,6.03,50.0,1.51,58.42,34.12,10.91,33.94,6.28,50.0,17.24,50.0,6.03,50.0,1.51,41.95
202605160208,2026-05-16,02,8R,realtime,64.1,20.49,44.3,8.19,50.0,17.24,61.87,7.46,55.55,1.67,55.05,53.91,17.23,62.96,11.65,50.0,17.24,51.81,6.25,48.74,1.47,53.83,53.11,16.98,48.45,8.96,94.4,32.54,44.8,5.4,51.12,1.54,65.42,50.45,16.13,54.67,10.11,134.4,46.33,57.99,6.99,46.62,1.4,80.96,43.71,13.97,48.45,8.96,81.1,27.96,42.53,5.13,48.99,1.48,57.49,34.12,10.91,33.94,6.28,50.0,17.24,41.02,4.94,49.05,1.48,40.84
202605160209,2026-05-16,02,9R,daily,64.1,20.49,48.45,8.96,114.5,39.47,50.0,6.03,50.0,1.51,76.45,53.91,17.23,50.52,9.34,104.0,35.85,50.0,6.03,50.0,1.51,69.96,53.11,16.98,67.11,12.41,50.0,17.24,50.0,6.03,50.0,1.51,54.16,50.45,16.13,40.16,7.43,94.4,32.54,50.0,6.03,50.0,1.51,63.63,43.71,13.97,48.45,8.96,74.4,25.65,50.0,6.03,50.0,1.51,56.11,34.12,10.91,42.23,7.81,136.0,46.88,50.0,6.03,50.0,1.51,73.13
202605160209,2026-05-16,02,9R,realtime,64.1,20.49,48.45,8.96,114.5,39.47,54.21,6.54,72.41,2.18,77.64,53.91,17.23,50.52,9.34,104.0,35.85,47.91,5.78,-96.36,-2.9,65.3,53.11,16.98,67.11,12.41,50.0,17.24,45.25,5.46,16.19,0.49,52.57,50.45,16.13,40.16,7.43,94.4,32.54,50.17,6.05,166.56,5.02,67.16,43.71,13.97,48.45,8.96,74.4,25.65,56.02,6.75,75.15,2.26,57.6,34.12,10.91,42.23,7.81,136.0,46.88,46.44,5.6,66.13,1.99,73.19
202605160210,2026-05-16,02,10R,daily,64.1,20.49,50.52,9.34,98.9,34.09,50.0,6.03,50.0,1.51,71.46,53.91,17.23,54.67,10.11,116.0,39.99,50.0,6.03,50.0,1.51,74.86,53.11,16.98,46.38,8.58,81.1,27.96,50.0,6.03,50.0,1.51,61.04,50.45,16.13,50.52,9.34,103.3,35.61,50.0,6.03,50.0,1.51,68.61,43.71,13.97,48.45,8.96,113.6,39.16,50.0,6.03,50.0,1.51,69.62,34.12,10.91,50.52,9.34,50.0,17.24,50.0,6.03,50.0,1.51,45.02
202605160210,2026-05-16,02,10R,realtime,64.1,20.49,50.52,9.34,98.9,34.09,61.93,7.47,55.55,1.67,73.07,53.91,17.23,54.67,10.11,116.0,39.99,51.0,6.15,48.74,1.47,74.95,53.11,16.98,46.38,8.58,81.1,27.96,41.58,5.01,51.12,1.54,60.06,50.45,16.13,50.52,9.34,103.3,35.61,53.68,6.47,46.62,1.4,68.96,43.71,13.97,48.45,8.96,113.6,39.16,46.09,5.56,48.99,1.48,69.12,34.12,10.91,50.52,9.34,50.0,17.24,45.74,5.51,49.05,1.48,44.48
202605160211,2026-05-16,02,11R,daily,64.1,20.49,58.81,10.88,50.0,17.24,50.0,6.03,50.0,1.51,56.14,53.91,17.23,46.38,8.58,107.3,36.99,50.0,6.03,50.0,1.51,70.33,53.11,16.98,42.23,7.81,50.0,17.24,50.0,6.03,50.0,1.51,49.56,50.45,16.13,46.38,8.58,50.0,17.24,50.0,6.03,50.0,1.51,49.47,43.71,13.97,56.74,10.5,98.9,34.09,50.0,6.03,50.0,1.51,66.09,34.12,10.91,50.52,9.34,107.0,36.88,50.0,6.03,50.0,1.51,64.67
202605160211,2026-05-16,02,11R,realtime,64.1,20.49,58.81,10.88,50.0,17.24,65.28,7.87,55.55,1.67,58.15,53.91,17.23,46.38,8.58,107.3,36.99,56.66,6.83,48.74,1.47,71.1,53.11,16.98,42.23,7.81,50.0,17.24,48.63,5.86,51.12,1.54,49.42,50.45,16.13,46.38,8.58,50.0,17.24,44.21,5.33,46.62,1.4,48.67,43.71,13.97,56.74,10.5,98.9,34.09,46.31,5.58,48.99,1.48,65.62,34.12,10.91,50.52,9.34,107.0,36.88,38.91,4.69,49.05,1.48,63.3
