レースコード,レース日,レース場,レース回,締切時刻,取得日時,ボーダー順位,1着点,2着点,3着点,4着点,5着点,6着点,艇1_級別,艇1_登録番号,艇1_選手名,艇1_得点率,艇1_順位,艇1_ボーダー状態,艇1_早見,艇1_1着時得点率,艇1_1着時状態,艇1_2着時得点率,艇1_2着時状態,艇1_3着時得点率,艇1_3着時状態,艇1_4着時得点率,艇1_4着時状態,艇1_5着時得点率,艇1_5着時状態,艇1_6着時得点率,艇1_6着時状態,艇2_級別,艇2_登録番号,艇2_選手名,艇2_得点率,艇2_順位,艇2_ボーダー状態,艇2_早見,艇2_1着時得点率,艇2_1着時状態,艇2_2着時得点率,艇2_2着時状態,艇2_3着時得点率,艇2_3着時状態,艇2_4着時得点率,艇2_4着時状態,艇2_5着時得点率,艇2_5着時状態,艇2_6着時得点率,艇2_6着時状態,艇3_級別,艇3_登録番号,艇3_選手名,艇3_得点率,艇3_順位,艇3_ボーダー状態,艇3_早見,艇3_1着時得点率,艇3_1着時状態,艇3_2着時得点率,艇3_2着時状態,艇3_3着時得点率,艇3_3着時状態,艇3_4着時得点率,艇3_4着時状態,艇3_5着時得点率,艇3_5着時状態,艇3_6着時得点率,艇3_6着時状態,艇4_級別,艇4_登録番号,艇4_選手名,艇4_得点率,艇4_順位,艇4_ボーダー状態,艇4_早見,艇4_1着時得点率,艇4_1着時状態,艇4_2着時得点率,艇4_2着時状態,艇4_3着時得点率,艇4_3着時状態,艇4_4着時得点率,艇4_4着時状態,艇4_5着時得点率,艇4_5着時状態,艇4_6着時得点率,艇4_6着時状態,艇5_級別,艇5_登録番号,艇5_選手名,艇5_得点率,艇5_順位,艇5_ボーダー状態,艇5_早見,艇5_1着時得点率,艇5_1着時状態,艇5_2着時得点率,艇5_2着時状態,艇5_3着時得点率,艇5_3着時状態,艇5_4着時得点率,艇5_4着時状態,艇5_5着時得点率,艇5_5着時状態,艇5_6着時得点率,艇5_6着時状態,艇6_級別,艇6_登録番号,艇6_選手名,艇6_得点率,艇6_順位,艇6_ボーダー状態,艇6_早見,艇6_1着時得点率,艇6_1着時状態,艇6_2着時得点率,艇6_2着時状態,艇6_3着時得点率,艇6_3着時状態,艇6_4着時得点率,艇6_4着時状態,艇6_5着時得点率,艇6_5着時状態,艇6_6着時得点率,艇6_6着時状態
202609061001,2026-09-06,10,01R,08:32,2026-09-06T08:22:20.966115+09:00,18,10,08,06,04,02,01,A1,4061,萩原 秀人,5.20,23,00,11,6.00,3,5.67,3,5.33,2,5.00,2,4.67,0,4.50,0,B2,4340,土性 雅也,3.00,36,00,10,4.40,0,4.00,0,3.60,0,3.20,0,2.80,0,2.60,0,B1,4270,岸本 雄貴,1.25,43,00,8,3.00,0,2.60,0,2.20,0,1.80,0,1.40,0,1.20,0,B1,4664,東口 晃,1.75,42,00,9,3.40,0,3.00,0,2.60,0,2.20,0,1.80,0,1.60,0,B1,3776,横井 健太,2.00,41,00,7,3.60,0,3.20,0,2.80,0,2.40,0,2.00,0,1.80,0,B2,5470,坂口 諒宗,0.00,44,00,6,2.00,0,1.60,0,1.20,0,0.80,0,0.40,0,0.20,0
202609061401,2026-09-06,14,01R,08:44,2026-09-06T08:34:18.965809+09:00,18,10,08,06,04,02,01,A1,4611,今井 美亜,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,3470,新田 芳美,0.00,1,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4720,西澤 日花里,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4965,福岡 泉水,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5390,高橋 涼夏,0.00,1,01,6,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5180,藤本 紗弥香,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609061002,2026-09-06,10,02R,08:58,2026-09-06T08:48:21.320395+09:00,18,10,08,06,04,02,01,A2,4718,北川 太一,4.80,27,00,9,5.67,3,5.33,2,5.00,2,4.67,0,4.33,0,4.17,0,A1,4073,大橋 純一郎,7.67,5,01,,8.00,5,7.71,5,7.43,5,7.14,5,6.86,5,6.71,5,B1,3812,山崎 聖司,2.50,40,00,8,4.00,0,3.60,0,3.20,0,2.80,0,2.40,0,2.20,0,B1,3730,塩崎 優司,3.00,36,00,6,4.40,0,4.00,0,3.60,0,3.20,0,2.80,0,2.60,0,B1,4879,山崎 鉄平,3.75,34,00,10,5.00,2,4.60,0,4.20,0,3.80,0,3.40,0,3.20,0,B1,3692,竹腰 正樹,5.75,16,01,12,6.60,5,6.20,3,5.80,3,5.40,2,5.00,2,4.80,2
202609061402,2026-09-06,14,02R,09:10,2026-09-06T09:00:56.929528+09:00,18,10,08,06,04,02,01,B1,4878,西岡 育未,0.00,1,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4784,向井田 真紀,0.00,1,01,7,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4775,千葉 真弥,0.00,1,01,12,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5198,奥村 明日香,0.00,1,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4071,古賀 千晶,0.00,1,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4738,清埜 翔子,0.00,1,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609061003,2026-09-06,10,03R,09:24,2026-09-06T09:14:18.079871+09:00,18,10,08,06,04,02,01,A1,3959,坪井 康晴,5.80,16,01,10,6.50,5,6.17,3,5.83,3,5.50,2,5.17,2,5.00,2,B1,5115,香川 颯太,6.40,12,01,,7.00,5,6.67,5,6.33,5,6.00,5,5.67,5,5.50,0,A2,4633,森 智也,7.40,8,01,12,7.83,5,7.50,5,7.17,5,6.83,5,6.50,5,6.33,5,B1,5037,田頭 虎親,5.25,23,00,8,6.20,3,5.80,3,5.40,2,5.00,2,4.60,0,4.40,0,B1,4552,杉山 勝匡,3.25,36,00,7,4.60,0,4.20,0,3.80,0,3.40,0,3.00,0,2.80,0,B1,3804,中渡 修作,6.50,11,01,11,7.20,5,6.80,5,6.40,5,6.00,3,5.60,3,5.40,2
202609061403,2026-09-06,14,03R,09:36,2026-09-06T09:26:21.837856+09:00,18,10,08,06,04,02,01,A2,4885,大山 千広,0.00,5,01,12,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4372,原田 佑実,0.00,5,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5056,西岡 成美,0.00,5,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5342,原村 百那,0.00,5,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4546,浜田 亜理沙,0.00,5,01,8,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4689,豊田 結,0.00,5,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609061004,2026-09-06,10,04R,09:50,2026-09-06T09:40:28.733241+09:00,18,10,08,06,04,02,01,A2,5023,久永 祥平,6.80,9,01,9,7.33,5,7.00,5,6.67,5,6.33,3,6.00,3,5.83,3,A2,4509,平見 真彦,5.20,24,00,8,6.00,3,5.67,3,5.33,2,5.00,2,4.67,0,4.50,0,B1,4169,多田 有佑,2.60,38,00,,3.83,0,3.50,0,3.17,0,2.83,0,2.50,0,2.33,0,A2,4394,永嶋 裕一,6.20,13,01,11,6.83,5,6.50,5,6.17,3,5.83,3,5.50,2,5.33,2,B1,4346,前田 健太郎,5.40,21,00,,6.17,5,5.83,5,5.50,0,5.17,0,4.83,0,4.67,0,B1,4731,間野 兼礼,5.20,24,00,,6.00,5,5.67,5,5.33,0,5.00,0,4.67,0,4.50,0
202609061404,2026-09-06,14,04R,10:02,2026-09-06T09:52:22.515840+09:00,18,10,08,06,04,02,01,A2,4627,藤原 菜希,0.00,11,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5334,樫葉 新心,0.00,11,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4974,安井 瑞紀,0.00,11,01,9,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5108,柴田 愛梨,0.00,11,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,4843,深尾 巴恵,0.00,11,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A1,5193,米丸 乃絵,0.00,11,01,12,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
202609061005,2026-09-06,10,05R,10:18,2026-09-06T10:08:22.090855+09:00,18,10,08,06,04,02,01,A1,4168,石野 貴之,8.80,1,01,9,9.00,5,8.67,5,8.33,5,8.00,5,7.67,5,7.50,5,B1,4489,岩川 仁士,5.20,25,00,,6.00,5,5.67,5,5.33,0,5.00,0,4.67,0,4.50,0,B1,4669,井上 茂,5.40,23,00,,6.17,5,5.83,5,5.50,0,5.17,0,4.83,0,4.67,0,A2,4822,百武 翔,5.60,18,01,10,6.33,3,6.00,3,5.67,3,5.33,2,5.00,2,4.83,0,A2,4709,岡村 将也,5.60,18,01,12,6.33,5,6.00,3,5.67,3,5.33,2,5.00,2,4.83,2,B1,4511,中岡 健人,4.80,27,00,,5.67,5,5.33,0,5.00,0,4.67,0,4.33,0,4.17,0
202609061405,2026-09-06,14,05R,10:28,2026-09-06T10:18:18.935940+09:00,18,10,08,06,04,02,01,B1,4400,加藤 奈月,0.00,17,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,4450,平高 奈菜,0.00,17,01,11,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B1,5153,佐藤 ほのか,0.00,17,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A1,4845,前田 紗希,0.00,17,01,12,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,A2,5189,藤原 早菜,0.00,17,01,10,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5,B2,5440,薗頭 心,0.00,17,01,,10.00,5,8.00,5,6.00,5,4.00,5,2.00,5,1.00,5
