レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202603030401,2026-03-03,04,01R,,backfill-from-daily,,46.5,0.5,6.69,0.0,53.2,0.0,6.81,-0.5,51.0,1.0,6.75,-0.5,54.7,0.0,6.8,-0.5,53.2,0.0,6.8,-0.5,53.3,0.0,6.77,0.5
202603030402,2026-03-03,04,02R,,backfill-from-daily,,52.1,0.0,6.68,-0.5,54.1,0.0,6.81,-0.5,52.0,0.0,6.7,-0.5,52.5,0.0,6.76,-0.5,52.0,0.0,6.81,-0.5,48.2,0.0,6.81,0.0
202603030403,2026-03-03,04,03R,,backfill-from-daily,,56.9,0.0,6.82,-0.5,55.3,0.0,6.78,-0.5,46.0,1.0,6.8,0.0,52.0,0.0,6.8,0.0,52.0,0.0,6.8,-0.5,54.9,0.0,6.84,0.0
202603030404,2026-03-03,04,04R,,backfill-from-daily,,53.7,0.0,6.75,-0.5,58.7,0.0,6.79,-0.5,47.7,0.0,6.78,0.0,51.9,0.0,6.75,-0.5,55.4,0.0,6.86,-0.5,52.1,0.0,6.88,-0.5
202603030405,2026-03-03,04,05R,,backfill-from-daily,,52.0,0.0,6.74,0.0,51.0,1.0,6.77,-0.5,48.3,0.0,6.69,-0.5,46.5,0.5,6.73,0.0,52.1,0.0,6.75,-0.5,57.3,0.0,6.84,-0.5
202603030406,2026-03-03,04,06R,,backfill-from-daily,,59.3,0.0,6.8,-0.5,53.5,0.0,6.78,-0.5,48.2,0.0,6.75,0.0,54.6,0.0,6.81,-0.5,52.8,0.0,6.81,0.0,53.3,0.0,6.8,0.0
202603030407,2026-03-03,04,07R,,backfill-from-daily,,56.2,0.0,6.81,-0.5,53.3,0.0,6.78,-0.5,52.1,0.0,6.78,-0.5,46.0,1.0,6.72,0.0,55.0,0.0,6.71,-0.5,52.0,0.0,6.88,0.0
202603030408,2026-03-03,04,08R,,backfill-from-daily,,53.2,0.0,6.75,-0.5,50.5,1.5,6.83,-0.5,55.5,0.0,6.86,-0.5,53.1,0.0,6.72,-0.5,45.0,2.0,6.71,-0.5,52.8,0.0,6.7,0.0
202603030409,2026-03-03,04,09R,,backfill-from-daily,,52.0,0.0,6.76,-0.5,55.1,0.0,6.74,-0.5,57.3,0.0,6.85,-0.5,53.2,0.0,6.82,-0.5,52.0,0.0,6.72,0.0,58.7,0.0,6.78,-0.5
202603030410,2026-03-03,04,10R,,backfill-from-daily,,52.0,0.0,6.73,-0.5,51.5,0.5,6.64,0.0,52.3,0.0,6.71,-0.5,56.9,0.0,6.72,-0.5,47.7,0.0,6.88,0.0,52.0,0.0,6.68,-0.5
202603030411,2026-03-03,04,11R,,backfill-from-daily,,55.3,0.0,6.72,-0.5,46.5,0.5,6.85,0.0,53.5,0.0,6.82,-0.5,52.0,0.0,6.72,-0.5,52.1,0.0,6.75,0.0,54.7,0.0,6.8,-0.5
