レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608022101,2026-08-02,21,01R,08:32,2026-08-02T08:22:25.908883+09:00,13.5,37.0,30.8,47.2,9.4,11.9,6.6,12.4,36.6,32.5,42.2,86.1,33.9,16.3,60.5,36.3,139.0,44.0,191.2,75.5,48.9,197.3,169.9,407.9,131.5,422.0,254.9,532.1,370.8,874.1,1112,764.9,207.4,556.2,719.9,1112,532.1,1112,1223,1359,50.5,69.5,26.8,41.6,103.7,298.5,203.9,254.9,211.0,359.9,226.6,260.3,48.9,130.1,165.3,85.5,92.0,218.5,222.5,101.1,266.0,182.6,142.3,298.5,382.4,611.9,489.5,382.4,339.9,815.9,422.0,679.9,235.3,815.9,611.9,532.1,611.9,941.4,719.9,1359,161.0,67.6,177.3,106.4,394.7,214.7,644.1,339.9,83.2,177.3,211.0,111.2,291.3,941.4,359.9,322.0,140.6,266.0,130.1,291.3,422.0,188.2,453.2,298.5,941.4,679.9,1019,1359,214.7,489.5,532.1,305.9,509.9,679.9,644.1,1112,349.6,1019,453.2,874.1
202608022301,2026-08-02,23,01R,08:44,2026-08-02T08:34:22.922110+09:00,6.1,8.7,10.5,77.4,9.6,9.2,10.7,86.3,14.9,15.4,13.2,110.0,25.3,27.5,25.9,128.5,234.7,278.3,354.2,288.6,72.9,116.6,131.6,608.8,128.5,335.9,428.1,581.5,251.3,414.5,564.7,999.0,229.2,683.5,581.5,1180,1082,1948,1298,1498,70.3,73.7,86.9,397.5,111.9,280.3,360.7,581.5,139.1,290.7,367.5,927.7,194.8,487.0,533.7,1298,1298,1498,1256,1498,103.0,117.0,90.4,397.5,211.7,423.5,548.7,1025,184.6,469.4,608.8,829.0,145.9,428.1,599.4,695.7,1146,1298,1623,1443,162.3,201.8,136.2,519.5,311.7,548.7,695.7,1113,333.0,829.0,683.5,1082,181.2,475.1,618.4,735.1,1053,1298,2435,1694,1053,1948,1558,1498,1498,1256,1558,2050,2292,2164,2783,2292,1498,1256,2292,1558,1391,1948,2292,2164
202608022102,2026-08-02,21,02R,08:58,2026-08-02T08:48:23.790410+09:00,28.5,12.9,50.7,68.0,41.8,18.3,47.7,88.7,8.6,9.3,11.7,27.0,75.4,98.2,50.6,126.3,162.3,215.5,106.4,226.9,81.9,56.1,140.9,183.2,174.4,235.3,288.1,427.4,72.2,189.9,135.7,166.5,203.5,413.6,288.1,625.5,377.1,413.6,269.9,884.4,162.3,69.5,140.9,301.7,284.9,237.4,328.8,523.4,92.2,184.5,261.7,346.6,284.9,346.6,309.0,625.5,449.9,693.2,557.5,916.0,16.0,22.2,16.6,37.9,45.6,89.3,86.0,107.7,74.9,178.1,139.3,206.8,33.2,63.6,126.9,71.2,120.9,142.4,328.8,142.4,231.0,400.7,108.2,483.9,420.4,366.4,356.2,545.7,493.2,754.3,674.9,916.0,111.5,219.2,361.2,301.7,641.2,1115,1349,801.5,413.6,582.9,361.2,986.4,610.6,523.4,693.2,1025,493.2,674.9,827.3,949.9,641.2,434.7,884.4,949.9,1115,1221,1282,1068
202608022302,2026-08-02,23,02R,09:10,2026-08-02T09:00:44.678728+09:00,15.5,88.2,61.7,71.2,6.7,28.9,8.8,10.4,155.0,72.8,171.6,182.7,64.5,34.6,124.7,93.7,124.1,53.1,269.2,166.1,76.8,266.4,172.8,308.1,96.5,412.5,275.0,387.5,465.0,393.5,491.9,983.8,255.8,381.7,655.9,882.0,433.5,594.8,1162,1218,11.8,30.5,9.9,10.7,48.6,163.9,103.1,114.7,93.3,184.0,156.9,156.9,28.5,88.5,127.2,56.4,42.9,120.0,139.7,83.0,441.0,214.9,275.0,360.2,419.3,412.5,448.7,581.3,275.0,556.0,511.6,594.8,448.7,752.3,710.5,730.8,556.0,752.3,799.3,825.1,272.1,128.5,350.4,341.0,381.7,332.2,710.5,568.4,133.2,327.9,511.6,336.5,556.0,882.0,655.9,710.5,710.5,1065,568.4,1112,511.6,167.1,1162,825.1,609.0,544.2,752.3,691.3,180.1,501.5,568.4,491.9,1346,1162,556.0,1279,775.1,852.6,673.1,1162
202608022103,2026-08-02,21,03R,09:24,2026-08-02T09:14:19.766105+09:00,46.7,93.3,135.3,196.4,38.8,11.1,6.5,54.5,115.1,34.4,57.4,167.4,102.8,20.2,63.4,127.4,373.2,227.2,502.4,303.8,104.5,303.8,272.1,362.9,231.2,607.6,353.0,725.8,502.4,580.6,746.5,768.5,221.4,435.4,687.6,725.8,746.5,967.7,816.5,1537,45.9,10.3,5.8,50.8,126.2,214.1,158.3,395.8,28.0,154.6,26.3,107.9,11.9,78.7,21.0,52.4,175.3,343.8,176.5,146.7,428.3,107.5,115.6,384.2,593.8,533.2,653.2,512.3,138.9,593.8,139.7,442.8,202.5,706.1,173.0,458.4,791.7,725.8,746.5,842.8,277.9,38.3,148.4,272.1,421.4,353.0,669.9,669.9,42.0,280.9,116.1,241.9,204.1,1004,209.0,746.5,669.9,1537,768.5,1537,791.7,637.2,933.1,1088,1537,870.9,2009,1375,669.9,1244,768.5,791.7,1741,669.9,901.0,1045,1306,1633,1187,2009
202608022303,2026-08-02,23,03R,09:36,2026-08-02T09:26:19.132837+09:00,16.2,51.9,62.2,71.9,8.4,6.9,11.3,8.9,58.6,18.4,46.8,36.0,81.5,31.9,67.3,60.2,124.2,34.7,69.5,74.8,116.5,268.8,329.3,280.3,163.6,454.3,487.9,798.4,439.1,439.1,1145,941.0,346.7,627.3,774.9,712.1,537.7,642.6,878.3,1197,31.7,22.7,24.5,23.9,100.9,253.3,212.4,333.5,69.3,219.5,134.4,130.4,83.1,214.2,163.6,105.8,117.6,306.3,171.1,143.9,188.2,71.9,130.4,103.7,405.3,479.0,497.1,506.7,107.9,424.9,277.3,258.3,210.7,393.2,277.3,229.1,243.9,798.4,317.4,439.1,333.5,152.3,237.3,250.9,548.9,446.6,975.9,693.4,231.1,675.6,439.1,193.7,277.3,612.7,446.6,376.4,526.9,849.9,214.2,612.7,548.9,207.4,506.7,560.6,823.4,823.4,1097,908.6,268.8,849.9,439.1,693.4,627.3,1317,479.0,941.0,497.1,941.0,598.8,712.1
202608022104,2026-08-02,21,04R,09:50,2026-08-02T09:40:19.497504+09:00,40.7,17.8,26.2,52.7,61.9,50.4,52.7,92.8,12.1,34.5,9.7,13.6,24.5,45.3,19.9,29.8,75.9,132.9,38.3,61.9,66.1,77.4,107.3,120.6,238.7,325.0,191.8,585.0,110.3,325.0,220.7,225.0,94.3,216.6,292.5,243.7,238.7,354.5,334.3,354.5,205.2,123.1,102.6,248.9,417.8,208.9,153.9,468.0,225.0,195.0,307.9,325.0,180.0,144.4,272.1,105.4,403.4,557.1,365.6,115.8,68.4,75.9,31.0,51.3,127.1,238.7,119.3,148.1,234.0,417.8,234.0,316.2,43.0,134.4,130.0,58.5,95.1,167.1,300.0,102.6,131.4,111.4,51.3,107.3,201.7,158.1,265.9,243.7,229.4,234.0,365.6,103.5,63.2,188.7,182.8,92.1,174.6,254.3,111.4,146.2,243.7,354.5,128.5,403.4,557.1,417.8,344.1,450.0,344.1,557.1,450.0,508.7,167.1,243.7,557.1,195.0,450.0,531.8,585.0,243.7
202608022304,2026-08-02,23,04R,10:02,2026-08-02T09:52:23.389178+09:00,18.0,48.1,17.8,12.9,56.3,102.2,59.9,47.4,104.1,102.7,128.1,81.2,32.8,69.6,127.4,28.7,22.9,59.7,105.9,41.7,46.8,89.3,31.8,20.5,95.1,206.3,102.2,90.0,179.3,262.0,224.2,120.2,56.0,92.5,183.6,25.7,38.6,79.8,116.5,29.8,121.4,172.7,108.4,126.0,163.0,213.9,153.4,137.1,328.4,274.3,496.1,284.3,201.0,194.3,333.1,156.5,277.6,139.6,262.0,197.6,280.9,333.1,237.9,250.7,274.3,457.2,306.8,224.2,416.4,613.6,416.4,597.9,268.0,250.7,555.2,226.4,287.8,219.9,555.2,302.8,71.0,108.9,194.3,65.5,107.9,125.3,240.4,43.9,277.6,245.4,542.3,192.7,298.9,402.0,506.9,271.1,75.7,41.7,143.0,159.7,41.9,171.4,253.4,100.0,57.1,100.5,161.9,39.3,298.9,182.1,358.7,222.0,337.9,210.0,496.1,280.9,83.2,44.8,158.6,167.7
202608022105,2026-08-02,21,05R,10:18,2026-08-02T10:08:20.182336+09:00,36.7,17.8,41.2,53.4,36.9,9.7,20.8,33.3,14.4,8.2,8.3,8.4,50.0,38.3,24.9,45.7,102.1,74.0,26.9,62.8,106.0,128.3,288.5,288.5,451.4,756.4,518.3,999.6,235.2,756.4,474.4,451.4,243.3,583.1,636.1,571.2,559.8,874.6,466.5,1076,266.5,79.2,122.7,199.9,583.1,394.2,341.3,933.0,143.5,329.2,304.2,373.2,318.0,325.4,528.1,699.7,363.5,666.4,399.8,874.6,76.8,68.2,45.7,38.3,201.3,538.2,311.0,291.5,180.5,548.8,252.1,311.0,78.6,269.1,325.4,127.8,71.9,304.2,311.0,213.6,259.1,239.2,101.7,220.3,508.9,437.3,736.5,508.9,491.0,595.5,666.4,548.8,144.2,518.3,699.7,249.9,458.8,823.2,874.6,491.0,399.8,458.8,105.2,437.3,482.5,823.2,777.5,1166,508.9,799.7,482.5,799.7,166.6,482.5,622.0,491.0,608.4,848.1,1272,608.4
202608022305,2026-08-02,23,05R,10:30,2026-08-02T10:20:23.892607+09:00,20.5,14.1,53.5,12.7,60.4,88.5,94.4,63.3,17.6,54.9,72.1,11.6,85.4,138.7,141.6,89.7,16.0,54.9,13.7,61.3,115.5,54.5,161.1,51.6,226.1,332.3,401.7,414.1,101.5,379.1,434.1,106.3,256.3,549.3,434.1,320.4,97.5,456.2,126.9,434.1,174.7,199.3,211.9,220.6,295.7,292.5,349.5,420.5,384.5,363.7,815.6,354.1,456.2,363.7,841.1,656.5,354.1,384.5,280.3,747.7,55.5,181.8,104.7,30.1,71.7,168.2,274.6,67.1,407.8,527.7,395.8,336.4,193.6,354.1,527.7,168.2,34.2,55.8,213.6,121.7,109.8,186.9,195.0,137.3,210.2,286.3,507.8,280.3,384.5,507.8,672.9,598.1,320.4,598.1,708.3,263.8,207.0,222.4,527.7,289.4,25.0,124.0,24.8,105.9,43.6,200.8,69.1,213.6,266.5,328.2,305.8,527.7,30.6,58.1,190.9,137.3,166.1,249.2,456.2,217.0
