レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連単_1-2-3,3連単_1-2-4,3連単_1-2-5,3連単_1-2-6,3連単_1-3-2,3連単_1-3-4,3連単_1-3-5,3連単_1-3-6,3連単_1-4-2,3連単_1-4-3,3連単_1-4-5,3連単_1-4-6,3連単_1-5-2,3連単_1-5-3,3連単_1-5-4,3連単_1-5-6,3連単_1-6-2,3連単_1-6-3,3連単_1-6-4,3連単_1-6-5,3連単_2-1-3,3連単_2-1-4,3連単_2-1-5,3連単_2-1-6,3連単_2-3-1,3連単_2-3-4,3連単_2-3-5,3連単_2-3-6,3連単_2-4-1,3連単_2-4-3,3連単_2-4-5,3連単_2-4-6,3連単_2-5-1,3連単_2-5-3,3連単_2-5-4,3連単_2-5-6,3連単_2-6-1,3連単_2-6-3,3連単_2-6-4,3連単_2-6-5,3連単_3-1-2,3連単_3-1-4,3連単_3-1-5,3連単_3-1-6,3連単_3-2-1,3連単_3-2-4,3連単_3-2-5,3連単_3-2-6,3連単_3-4-1,3連単_3-4-2,3連単_3-4-5,3連単_3-4-6,3連単_3-5-1,3連単_3-5-2,3連単_3-5-4,3連単_3-5-6,3連単_3-6-1,3連単_3-6-2,3連単_3-6-4,3連単_3-6-5,3連単_4-1-2,3連単_4-1-3,3連単_4-1-5,3連単_4-1-6,3連単_4-2-1,3連単_4-2-3,3連単_4-2-5,3連単_4-2-6,3連単_4-3-1,3連単_4-3-2,3連単_4-3-5,3連単_4-3-6,3連単_4-5-1,3連単_4-5-2,3連単_4-5-3,3連単_4-5-6,3連単_4-6-1,3連単_4-6-2,3連単_4-6-3,3連単_4-6-5,3連単_5-1-2,3連単_5-1-3,3連単_5-1-4,3連単_5-1-6,3連単_5-2-1,3連単_5-2-3,3連単_5-2-4,3連単_5-2-6,3連単_5-3-1,3連単_5-3-2,3連単_5-3-4,3連単_5-3-6,3連単_5-4-1,3連単_5-4-2,3連単_5-4-3,3連単_5-4-6,3連単_5-6-1,3連単_5-6-2,3連単_5-6-3,3連単_5-6-4,3連単_6-1-2,3連単_6-1-3,3連単_6-1-4,3連単_6-1-5,3連単_6-2-1,3連単_6-2-3,3連単_6-2-4,3連単_6-2-5,3連単_6-3-1,3連単_6-3-2,3連単_6-3-4,3連単_6-3-5,3連単_6-4-1,3連単_6-4-2,3連単_6-4-3,3連単_6-4-5,3連単_6-5-1,3連単_6-5-2,3連単_6-5-3,3連単_6-5-4
202608041001,2026-08-04,10,01R,08:32,2026-08-04T08:22:19.976952+09:00,4.8,6.3,15.1,39.3,8.2,10.4,20.9,34.3,11.6,17.8,26.4,58.7,28.2,44.5,42.8,86.7,120.8,93.8,115.6,161.3,67.1,86.7,140.3,252.1,107.2,313.3,413.7,645.5,156.6,379.7,504.3,849.3,240.8,512.3,547.0,733.5,768.4,1008,1291,1291,83.1,129.1,148.0,212.3,127.0,227.2,403.4,481.7,262.4,316.4,733.5,827.5,285.6,658.6,1152,1152,504.3,872.3,1152,1898,97.5,205.5,163.0,322.7,170.7,474.6,366.7,787.2,347.0,547.0,787.2,1403,278.2,496.5,787.2,1041,717.2,1403,1613,1898,157.4,273.5,313.3,384.2,264.5,419.1,632.8,849.3,350.8,424.6,1112,1075,366.7,733.5,1241,1152,717.2,896.5,1613,2305,512.3,658.6,806.9,978.0,1008,949.3,1613,1698,849.3,1075,922.1,1793,1152,2151,1698,2934,1008,1467,2151,3227
202608042101,2026-08-04,21,01R,08:44,2026-08-04T08:34:21.169182+09:00,15.3,18.5,60.0,69.9,14.0,4.8,26.2,20.3,21.3,7.2,34.4,22.7,79.5,54.6,62.4,128.4,174.8,76.1,84.1,254.5,84.3,99.0,216.5,248.0,101.8,137.5,333.5,337.4,147.3,245.9,707.7,453.4,372.0,509.1,829.1,879.3,537.3,659.5,806.0,853.5,71.6,28.2,94.8,79.2,118.9,160.3,337.4,261.4,41.8,148.8,189.6,76.3,254.5,491.8,468.0,580.3,193.4,381.8,156.8,537.3,81.2,33.8,107.4,69.2,175.8,228.4,460.6,362.7,48.2,184.8,197.4,90.9,184.8,690.9,397.5,367.3,168.7,446.4,168.7,527.6,252.3,210.2,210.2,386.9,518.1,527.6,853.5,1036,284.5,604.5,617.4,784.2,290.1,1074,784.2,1074,1160,1209,1934,2072,537.3,318.8,259.0,1209,806.0,744.0,1116,1527,408.7,853.5,333.5,1160,308.7,1116,392.1,1813,1160,1612,1116,2232
202608041002,2026-08-04,10,02R,08:58,2026-08-04T08:48:23.780887+09:00,4.1,22.5,18.7,43.8,8.9,43.5,30.6,62.6,54.7,71.7,102.7,214.3,52.8,68.1,171.9,180.3,146.4,146.4,328.6,308.1,10.5,39.8,29.8,82.1,20.5,93.6,63.4,208.3,107.1,135.6,250.6,314.6,75.0,114.6,197.2,242.4,369.7,308.1,672.2,672.2,23.4,75.0,52.8,90.1,31.8,73.2,83.0,149.3,194.6,111.2,352.1,528.2,123.2,135.6,328.6,435.0,369.7,301.8,643.0,477.0,124.2,217.5,295.8,369.7,197.2,189.6,255.0,336.1,250.6,231.0,259.4,778.4,352.1,314.6,290.0,821.6,389.2,477.0,986.0,924.3,134.4,176.0,273.8,389.2,166.1,132.0,255.0,290.0,227.5,130.8,493.0,435.0,321.5,352.1,448.1,510.0,870.0,643.0,1056,986.0,379.2,672.2,870.0,1232,704.2,336.1,704.2,924.3,821.6,448.1,493.0,821.6,778.4,704.2,591.6,1056,1344,924.3,1056,986.0
202608042102,2026-08-04,21,02R,09:10,2026-08-04T09:01:09.042652+09:00,31.6,11.3,34.3,92.8,51.2,23.6,62.8,91.8,8.8,20.5,10.4,32.7,59.8,95.9,36.3,122.2,179.5,210.0,91.0,178.5,111.6,54.2,124.5,143.4,211.4,247.2,267.8,595.2,62.2,218.6,115.2,215.7,239.8,554.1,217.1,518.4,472.6,803.5,479.7,845.8,180.5,119.9,170.9,292.1,331.3,241.6,479.7,573.9,195.9,238.0,257.1,440.2,401.7,606.4,373.7,655.9,642.8,730.4,573.9,824.1,15.6,44.7,17.1,40.2,40.0,127.0,55.1,93.4,130.6,214.2,142.2,227.9,27.9,42.4,89.2,39.0,97.6,162.3,277.0,78.3,198.4,292.1,85.0,249.1,324.6,327.9,192.4,406.8,544.7,479.7,494.4,683.8,77.2,141.5,223.2,106.0,365.2,518.4,618.1,180.5,241.6,292.1,180.5,331.3,428.5,510.1,349.3,554.1,669.6,730.4,606.4,747.4,204.7,289.5,544.7,163.9,396.8,486.9,479.7,197.1
202608041003,2026-08-04,10,03R,09:24,2026-08-04T09:14:23.066457+09:00,40.4,69.3,103.9,140.2,14.4,16.1,5.8,33.3,106.1,61.5,87.6,173.7,82.5,26.2,96.2,139.2,251.7,158.3,297.5,385.0,97.6,220.6,236.5,302.1,119.0,302.1,213.4,677.1,306.8,297.5,818.2,981.8,245.4,293.0,530.7,654.5,755.2,490.9,1402,1227,17.5,14.0,5.8,26.7,65.4,77.3,81.8,178.5,46.4,96.2,57.9,112.2,15.2,55.6,42.8,57.0,107.3,245.4,172.2,144.3,284.5,211.1,316.7,363.6,516.7,316.7,409.1,530.7,233.7,490.9,208.9,853.7,654.5,613.6,293.0,1090,503.5,701.3,1402,1155,223.1,55.0,272.7,338.5,370.5,213.4,377.6,409.1,57.9,167.8,233.7,265.3,426.8,818.2,344.5,577.5,701.3,755.2,503.5,935.1,446.3,436.3,892.6,1155,818.2,446.3,853.7,1090,426.8,545.4,530.7,613.6,892.6,981.8,701.3,1510,853.7,1510,727.3,1402
202608042103,2026-08-04,21,03R,09:36,2026-08-04T09:26:23.825278+09:00,10.9,37.5,46.5,128.1,5.3,11.0,9.2,39.6,56.3,51.9,127.3,161.0,62.9,41.5,110.0,206.6,322.1,199.1,391.1,398.2,33.9,171.1,171.1,187.2,35.4,173.8,134.3,317.4,257.7,337.0,730.2,561.6,251.7,365.1,486.8,706.6,730.2,476.2,592.0,1043,12.5,20.7,12.9,57.1,28.1,76.0,69.7,153.1,69.1,97.7,111.1,158.7,44.3,88.3,87.9,128.8,233.0,246.1,233.0,284.4,210.6,175.2,235.5,391.1,347.7,322.1,371.2,304.2,199.1,342.2,263.9,608.5,267.1,521.5,337.0,644.2,755.3,811.3,1043,1095,284.4,123.7,280.8,438.1,421.2,304.2,486.8,644.2,125.8,317.4,312.9,547.6,322.1,684.5,497.8,782.3,1043,1217,876.2,1460,576.4,398.2,782.3,755.3,663.8,592.0,561.6,1369,486.8,684.5,608.5,755.3,1152,521.5,1152,1685,782.3,1095,952.4,1288
202608041004,2026-08-04,10,04R,09:50,2026-08-04T09:40:26.228955+09:00,40.3,30.6,51.8,133.3,38.7,12.4,14.7,116.3,18.1,12.7,6.9,84.7,35.6,21.7,13.6,93.5,192.6,289.0,205.1,284.7,156.3,163.0,188.8,284.7,196.6,328.8,232.6,706.5,216.7,268.6,465.2,706.5,211.9,293.4,397.4,615.3,763.0,578.0,1589,1467,90.8,57.4,56.2,190.7,196.6,121.5,176.6,334.6,84.7,152.6,110.2,414.6,98.3,200.7,135.2,414.6,465.2,465.2,489.1,908.3,60.3,50.1,13.9,128.0,254.3,247.7,254.3,389.2,92.5,192.6,105.3,529.8,21.1,103.1,75.1,128.0,317.9,515.5,578.0,476.8,107.1,83.6,39.3,214.3,224.4,185.1,219.2,366.8,137.2,188.8,164.4,423.9,47.6,190.7,153.8,190.7,635.8,1059,1192,867.0,465.2,657.7,635.8,953.7,829.3,423.9,615.3,1192,1003,596.1,635.8,1362,829.3,1122,681.2,1003,1003,1271,1003,829.3
202608042104,2026-08-04,21,04R,10:02,2026-08-04T09:52:22.432795+09:00,6.3,21.6,8.0,186.2,8.1,23.0,6.2,139.0,40.2,59.9,52.8,304.3,11.3,8.9,35.8,170.7,365.9,330.5,357.4,404.4,73.0,108.2,96.0,341.5,110.1,458.7,195.7,991.5,161.7,640.3,808.8,788.1,165.2,274.4,653.9,1397,1397,1097,1229,1059,56.9,112.5,37.0,361.6,120.0,260.4,161.7,653.9,310.4,374.8,323.5,1280,78.6,178.7,320.1,960.5,1182,1138,931.4,1397,105.6,204.9,160.0,465.7,140.3,698.5,768.4,503.8,260.4,960.5,640.3,1397,184.0,602.6,495.7,749.6,1138,1280,1536,2049,54.5,45.3,143.6,426.9,117.3,176.6,465.7,698.5,86.5,207.6,480.2,960.5,187.4,668.2,668.2,878.2,878.2,1229,2049,1808,830.7,830.7,1229,904.0,1536,1336,1059,1921,1336,1707,1463,2195,1397,904.0,1921,2195,1024,1808,2561,2049
202608041005,2026-08-04,10,05R,10:18,2026-08-04T10:08:24.614533+09:00,14.3,11.6,5.2,114.4,32.8,79.2,37.2,268.2,23.5,71.2,26.8,279.1,6.8,23.0,17.7,123.2,291.0,427.4,479.9,558.3,72.9,56.0,23.0,222.4,152.8,300.6,208.8,854.9,100.2,284.9,198.2,882.4,34.4,135.4,130.2,329.6,667.2,804.6,1519,1139,158.1,314.4,117.4,385.3,260.5,127.2,235.8,497.4,526.0,253.3,781.6,977.0,159.0,282.0,558.3,781.6,759.9,636.2,781.6,1243,60.2,350.7,68.0,350.7,89.1,321.8,85.2,558.3,621.7,471.6,558.3,1519,85.2,86.0,420.8,463.6,547.1,683.9,1439,1189,19.3,74.5,53.9,188.6,36.8,116.4,72.9,273.5,148.6,204.1,621.7,582.0,83.4,103.2,506.6,260.5,558.3,719.9,829.0,943.3,516.1,1367,1243,977.0,781.6,607.9,1052,1302,2104,667.2,854.9,1609,977.0,911.9,1439,1094,1052,1609,1823,2104
202608042105,2026-08-04,21,05R,10:30,2026-08-04T10:20:25.977508+09:00,15.1,33.1,6.4,11.8,28.0,69.5,19.6,36.9,71.0,127.9,83.2,130.2,8.2,23.7,65.2,9.0,26.2,56.5,141.6,21.8,98.4,122.0,49.8,56.1,219.6,618.5,265.0,570.9,191.3,687.2,789.6,508.3,84.1,431.5,608.4,172.6,115.2,522.7,452.5,254.1,180.1,394.8,183.7,360.3,236.3,350.1,441.8,598.5,757.4,463.9,843.4,951.6,353.4,469.7,662.7,522.7,674.7,883.6,1159,757.4,158.6,687.2,292.2,412.3,202.8,687.2,553.9,353.4,806.8,951.6,905.1,976.6,350.1,713.7,883.6,431.5,579.8,629.0,1197,824.7,37.4,104.8,245.7,31.8,81.3,240.9,426.5,114.9,265.0,463.9,757.4,363.8,294.5,545.7,1124,469.7,52.7,112.1,283.3,426.5,98.4,325.5,508.3,85.7,134.9,399.0,463.9,252.4,530.1,742.2,1060,687.2,515.4,417.0,1124,757.4,94.4,236.3,426.5,598.5
202608041301,2026-08-04,13,01R,10:34,2026-08-04T10:24:21.873997+09:00,26.1,67.8,124.5,129.6,23.2,47.9,95.1,75.9,112.3,115.5,283.6,217.0,321.8,206.1,409.2,381.9,242.7,187.2,325.5,572.9,48.3,122.9,197.5,222.0,28.6,15.6,51.9,27.6,155.6,44.9,242.7,116.4,251.3,139.0,427.5,337.0,345.1,110.6,251.3,372.0,21.1,35.0,65.4,53.1,15.8,8.5,27.4,13.1,35.8,17.7,54.2,26.4,100.1,59.4,107.2,82.5,69.7,33.0,42.3,83.0,318.3,253.5,485.5,454.7,292.3,67.8,421.3,249.1,158.2,63.6,229.1,179.0,1145,987.8,584.6,895.2,530.5,341.0,358.1,1023,349.3,286.4,596.8,530.5,454.7,143.9,502.6,596.8,222.0,155.6,227.3,318.3,682.1,954.9,572.9,1432,842.6,502.6,454.7,924.1,485.5,454.7,753.9,753.9,584.6,175.7,392.4,666.2,362.6,136.4,198.9,376.9,584.6,387.1,372.0,1061,1023,636.6,530.5,1061
202608040801,2026-08-04,08,01R,10:40,2026-08-04T10:32:25.827217+09:00,10.3,34.0,23.3,41.7,10.1,23.8,6.6,15.6,54.8,57.3,49.6,85.0,27.4,11.1,54.3,17.2,70.4,40.6,109.6,42.6,85.0,159.2,117.3,173.0,126.2,334.4,189.3,371.6,304.0,418.1,557.4,573.4,185.8,346.0,627.1,489.4,304.0,542.4,590.2,716.7,58.1,111.4,34.9,74.3,112.7,257.2,156.7,323.6,233.3,264.0,274.9,233.3,64.5,112.1,274.9,115.3,194.8,445.9,436.2,233.3,225.4,295.1,278.7,329.0,371.6,489.4,608.1,340.1,364.8,590.2,514.5,573.4,329.0,501.7,692.0,477.8,352.0,194.8,771.8,477.8,99.3,59.0,233.3,68.2,202.7,304.0,557.4,346.0,92.4,238.9,456.1,153.2,286.7,304.0,477.8,378.6,143.3,313.5,225.4,409.5,271.2,250.8,418.1,264.0,409.5,743.3,771.8,912.2,329.0,743.3,716.7,393.5,466.7,608.1,250.8,872.5,323.6,836.2,427.0,1056
202608041006,2026-08-04,10,06R,10:45,2026-08-04T10:36:27.000490+09:00,42.5,26.8,32.4,146.4,52.0,65.8,34.5,167.1,43.6,79.4,34.1,157.4,37.0,49.9,48.1,162.1,318.6,404.2,386.9,629.8,75.0,55.9,58.1,223.8,97.7,127.1,91.1,483.6,74.8,126.5,58.8,326.3,70.7,92.1,62.8,300.9,615.5,588.7,629.8,820.7,65.1,73.2,35.2,188.0,93.0,81.3,76.2,262.9,81.0,89.0,52.2,270.8,34.7,44.8,37.7,112.3,436.8,356.3,386.9,466.9,49.3,97.7,26.5,145.6,58.3,99.5,44.9,166.1,132.1,116.7,81.5,342.8,22.0,29.2,42.0,58.2,244.0,229.5,381.4,227.6,48.1,56.1,56.4,141.0,66.3,76.2,43.8,140.3,65.4,74.0,69.4,144.0,39.3,38.1,70.5,90.2,227.6,199.1,288.1,209.9,501.5,846.3,873.7,1177,873.7,466.9,660.6,752.3,1128,588.7,820.7,1003,1128,694.4,1128,752.3,1003,712.7,677.1,677.1
202608041701,2026-08-04,17,01R,10:55,2026-08-04T10:46:21.276497+09:00,18.8,11.1,113.0,47.5,21.4,7.9,144.6,57.2,6.1,5.3,52.5,12.9,189.0,355.4,310.5,499.9,73.0,110.0,47.1,483.5,141.1,87.7,508.6,355.4,265.7,383.1,556.5,797.2,147.4,355.4,1282,404.0,526.7,1229,1552,1843,702.3,893.9,578.4,2107,151.2,71.0,483.5,409.7,232.2,245.8,719.4,567.2,122.4,280.9,1282,468.2,776.2,556.5,1552,1966,655.5,893.9,670.4,2269,19.5,22.3,75.6,21.7,63.7,128.8,368.7,101.3,59.8,151.2,364.1,169.5,203.4,398.6,567.2,398.6,41.1,79.0,141.1,226.9,475.7,867.6,440.2,893.9,589.9,842.8,1092,1282,1053,1092,1474,1474,273.1,867.6,893.9,409.7,1843,1638,1638,1179,446.9,602.0,174.5,1053,842.8,655.5,702.3,1735,983.3,1053,921.8,1638,132.8,327.7,460.9,737.4,1843,2458,1404,2458
