レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202602040401,2026-02-04,04,01R,,backfill-from-daily,,53.5,0.0,6.54,0.0,52.1,0.0,6.62,-0.5,52.0,0.0,6.61,-0.5,54.6,0.0,6.67,-0.5,53.1,0.0,6.59,-0.5,56.4,0.0,6.66,0.0
202602040402,2026-02-04,04,02R,,backfill-from-daily,,55.1,0.0,6.66,0.0,52.0,0.0,6.66,0.0,52.9,0.0,6.63,-0.5,53.4,0.0,6.65,-0.5,52.0,0.0,6.57,0.0,53.4,0.0,6.7,0.0
202602040403,2026-02-04,04,03R,,backfill-from-daily,,52.6,0.0,6.66,-0.5,54.2,0.0,6.63,-0.5,56.7,0.0,6.64,-0.5,51.0,1.0,6.69,0.0,52.6,0.0,6.73,-0.5,49.0,3.0,6.63,-0.5
202602040404,2026-02-04,04,04R,,backfill-from-daily,,52.2,0.0,6.65,-0.5,53.2,0.0,6.79,-0.5,50.5,1.5,6.78,-0.5,59.8,0.0,6.71,-0.5,50.0,2.0,6.49,3.0,52.0,0.0,6.63,0.0
202602040405,2026-02-04,04,05R,,backfill-from-daily,,54.4,0.0,6.66,0.0,56.5,0.0,6.79,-0.5,52.4,0.0,6.69,-0.5,54.0,0.0,6.65,-0.5,52.5,0.0,6.72,-0.5,54.9,0.0,6.75,-0.5
202602040406,2026-02-04,04,06R,,backfill-from-daily,,53.6,0.0,6.75,-0.5,53.3,0.0,6.64,-0.5,52.0,0.0,6.65,0.0,53.5,0.0,6.57,0.0,52.0,0.0,6.71,-0.5,53.0,0.0,6.72,-0.5
202602040407,2026-02-04,04,07R,,backfill-from-daily,,52.0,0.0,6.78,-0.5,53.4,0.0,6.81,-0.5,52.1,0.0,6.8,-0.5,49.0,3.0,6.8,-0.5,55.1,0.0,6.84,-0.5,52.3,0.0,6.74,0.0
202602040408,2026-02-04,04,08R,,backfill-from-daily,,56.7,0.0,6.69,-0.5,53.1,0.0,6.77,-0.5,53.2,0.0,6.74,-0.5,55.0,0.0,6.81,-0.5,53.2,0.0,6.79,-0.5,52.1,0.0,6.78,0.0
202602040409,2026-02-04,04,09R,,backfill-from-daily,,54.2,0.0,6.66,-0.5,53.4,0.0,6.6,0.0,56.4,0.0,6.7,0.0,52.0,0.0,6.66,0.0,52.4,0.0,6.72,-0.5,51.0,1.0,6.66,-0.5
202602040410,2026-02-04,04,10R,,backfill-from-daily,,52.1,0.0,6.76,-0.5,53.2,0.0,6.71,0.0,54.7,0.0,6.81,0.0,52.3,0.0,6.74,-0.5,51.5,0.5,6.79,0.0,50.0,2.0,6.52,3.0
202602040411,2026-02-04,04,11R,,backfill-from-daily,,52.0,0.0,6.73,-0.5,52.0,0.0,6.63,-0.5,52.2,0.0,6.63,-0.5,55.3,0.0,6.77,-0.5,55.1,0.0,6.71,0.0,56.5,0.0,6.67,0.0
202602040412,2026-02-04,04,12R,,backfill-from-daily,,55.0,0.0,6.6,-0.5,54.4,0.0,6.69,0.0,52.3,0.0,6.59,0.0,52.6,0.0,6.62,-0.5,50.5,1.5,6.78,-0.5,53.3,0.0,6.69,-0.5
